Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 200
RECV 7419109
ADD 7419111
RECV 7419113
ADD 7419115
RECV 7419116
ADD 7419118
RECV 7419119
ADD 7419121
RECV 7419123
ADD 7419125
RECV 7419126
ADD 7419129
RECV 7419130
ADD 7419132
RECV 7419134
ADD 7419136
RECV 7419137
ADD 7419139
RECV 7419140
ADD 7419142
RECV 7419143
ADD 7419145
RECV 7419146
ADD 7419148
RECV 7419149
ADD 7419151
RECV 7419152
ADD 7419155
RECV 7419157
ADD 7419159
RECV 7419161
ADD 7419164
RECV 7419165
ADD 7419167
RECV 7419168
ADD 7419170
RECV 7419172
ADD 7419174
RECV 7419175
ADD 7419177
RECV 7419179
ADD 7419181
RECV 7419182
ADD 7419184
RECV 7419185
ADD 7419187
RECV 7419189
ADD 7419191
RECV 7419193
ADD 7419195
RECV 7419196
ADD 7419199
RECV 7419200
ADD 7419202
RECV 7419204
ADD 7419206
RECV 7419207
ADD 7419210
RECV 7419210
ADD 7419213
RECV 7419213
ADD 7419215
RECV 7419216
ADD 7419218
RECV 7419219
ADD 7419221
RECV 7419222
ADD 7419225
RECV 7419226
ADD 7419228
RECV 7419230
ADD 7419232
RECV 7419232
ADD 7419235
RECV 7419235
ADD 7419238
RECV 7419240
ADD 7419242
RECV 7419244
ADD 7419246
RECV 7419246
ADD 7419248
RECV 7419249
ADD 7419252
RECV 7419253
ADD 7419256
RECV 7419258
ADD 7419260
RECV 7419261
ADD 7419263
RECV 7419264
ADD 7419267
RECV 7419268
ADD 7419270
RECV 7419272
ADD 7419274
RECV 7419275
ADD 7419277
RECV 7419278
ADD 7419281
RECV 7419282
ADD 7419284
RECV 7419285
ADD 7419287
RECV 7419287
ADD 7419289
RECV 7419290
ADD 7419292
RECV 7419293
ADD 7419295
RECV 7419296
ADD 7419298
RECV 7419299
ADD 7419301
RECV 7419302
ADD 7419305
RECV 7419305
ADD 7419307
RECV 7419308
ADD 7419310
RECV 7419311
ADD 7419313
RECV 7419314
ADD 7419316
RECV 7419316
ADD 7419318
RECV 7419319
ADD 7419321
RECV 7419322
ADD 7419324
RECV 7419325
ADD 7419328
RECV 7419329
ADD 7419331
RECV 7419333
ADD 7419335
RECV 7419336
ADD 7419338
RECV 7419339
ADD 7419342
