Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 480x360
Retargetfactor: 0.75
Extendfactor: 0.25
Frame window size: 100
RECV 41258027
ADD 41258031
RECV 41258035
ADD 41258039
RECV 41258042
ADD 41258046
RECV 41258048
ADD 41258050
RECV 41258053
ADD 41258056
RECV 41258058
ADD 41258063
RECV 41258065
ADD 41258068
RECV 41258071
ADD 41258075
RECV 41258078
ADD 41258082
RECV 41258085
ADD 41258088
RECV 41258091
ADD 41258095
RECV 41258097
ADD 41258100
RECV 41258102
ADD 41258105
RECV 41258107
ADD 41258110
RECV 41258111
ADD 41258114
RECV 41258116
ADD 41258119
RECV 41258121
ADD 41258124
RECV 41258126
ADD 41258129
RECV 41258132
ADD 41258135
RECV 41258137
ADD 41258140
RECV 41258144
ADD 41258147
RECV 41258148
ADD 41258153
RECV 41258155
ADD 41258158
RECV 41258161
ADD 41258164
RECV 41258167
ADD 41258170
RECV 41258172
ADD 41258175
RECV 41258178
ADD 41258181
RECV 41258182
ADD 41258185
RECV 41258187
ADD 41258189
RECV 41258191
ADD 41258194
RECV 41258196
ADD 41258199
RECV 41258201
ADD 41258204
RECV 41258206
ADD 41258209
RECV 41258212
ADD 41258215
RECV 41258216
ADD 41258219
RECV 41258221
ADD 41258224
RECV 41258226
ADD 41258229
RECV 41258230
ADD 41258233
RECV 41258236
ADD 41258239
RECV 41258240
ADD 41258243
RECV 41258245
ADD 41258247
RECV 41258249
ADD 41258252
RECV 41258253
ADD 41258256
RECV 41258258
ADD 41258261
RECV 41258262
ADD 41258266
RECV 41258269
ADD 41258274
RECV 41258275
ADD 41258280
RECV 41258282
ADD 41258286
RECV 41258288
ADD 41258293
RECV 41258294
ADD 41258299
RECV 41258300
ADD 41258305
RECV 41258306
ADD 41258311
RECV 41258313
ADD 41258317
RECV 41258319
ADD 41258323
RECV 41258325
ADD 41258330
RECV 41258331
ADD 41258336
RECV 41258338
ADD 41258343
RECV 41258344
ADD 41258349
RECV 41258351
ADD 41258355
RECV 41258357
ADD 41258361
RECV 41258363
ADD 41258368
RECV 41258369
ADD 41258374
RECV 41258375
ADD 41258380
RECV 41258382
ADD 41258386
RECV 41258388
ADD 41258393
RECV 41258394
ADD 41258399
RECV 41258400
ADD 41258405
RECV 41258407
ADD 41258411
RECV 41258413
ADD 41258417
RECV 41258419
ADD 41258424
