Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 480x360
Retargetfactor: 0.75
Extendfactor: 0.25
Frame window size: 50
RECV 20047706
ADD 20047708
RECV 20047710
ADD 20047712
RECV 20047713
ADD 20047715
RECV 20047716
ADD 20047718
RECV 20047720
ADD 20047722
RECV 20047724
ADD 20047726
RECV 20047727
ADD 20047729
RECV 20047731
ADD 20047733
RECV 20047734
ADD 20047736
RECV 20047737
ADD 20047739
RECV 20047740
ADD 20047742
RECV 20047743
ADD 20047745
RECV 20047746
ADD 20047748
RECV 20047749
ADD 20047751
RECV 20047752
ADD 20047754
RECV 20047755
ADD 20047757
RECV 20047758
ADD 20047760
RECV 20047761
ADD 20047763
RECV 20047764
ADD 20047766
RECV 20047767
ADD 20047769
RECV 20047770
ADD 20047772
RECV 20047773
ADD 20047774
RECV 20047775
ADD 20047776
RECV 20047777
ADD 20047779
RECV 20047779
ADD 20047781
RECV 20047782
ADD 20047783
RECV 20047784
ADD 20047785
RECV 20047787
ADD 20047788
RECV 20047789
ADD 20047790
RECV 20047791
ADD 20047792
RECV 20047793
ADD 20047794
RECV 20047795
ADD 20047796
RECV 20047797
ADD 20047798
RECV 20047799
ADD 20047801
RECV 20047803
ADD 20047804
RECV 20047806
ADD 20047807
RECV 20047808
ADD 20047809
RECV 20047810
ADD 20047812
RECV 20047812
ADD 20047814
RECV 20047815
ADD 20047816
RECV 20047817
ADD 20047819
RECV 20047820
ADD 20047822
RECV 20047823
ADD 20047825
RECV 20047826
ADD 20047828
RECV 20047829
ADD 20047831
RECV 20047832
ADD 20047833
RECV 20047835
ADD 20047837
RECV 20047837
ADD 20047839
RECV 20047840
ADD 20047842
RECV 20047843
ADD 20047844
RECV 20047845
ADD 20047847
RECV 20047849
ADD 20047851
RECV 20047852
ADD 20047854
RECV 20047855
ADD 20047857
RECV 20047858
SEND 20047880
ADD 20047860
RECV 20047881
SEND 20047909
ADD 20047884
RECV 20047911
SEND 20047938
ADD 20047913
RECV 20047940
ADD 20047942
SEND 20047968
RECV 20047968
SEND 20047992
ADD 20047970
RECV 20047995
SEND 20048019
ADD 20047997
RECV 20048022
SEND 20048046
ADD 20048024
RECV 20048048
SEND 20048074
ADD 20048050
RECV 20048076
SEND 20048100
ADD 20048078
RECV 20048103
SEND 20048126
ADD 20048105
RECV 20048129
SEND 20048153
ADD 20048131
RECV 20048156
SEND 20048181
ADD 20048158
RECV 20048183
SEND 20048207
ADD 20048185
RECV 20048210
SEND 20048234
ADD 20048212
RECV 20048236
SEND 20048262
ADD 20048238
RECV 20048264
SEND 20048289
ADD 20048266
RECV 20048291
SEND 20048315
ADD 20048293
RECV 20048317
SEND 20048341
ADD 20048319
RECV 20048343
SEND 20048368
ADD 20048345
RECV 20048370
SEND 20048394
ADD 20048372
RECV 20048396
SEND 20048420
ADD 20048398
RECV 20048423
SEND 20048448
ADD 20048425
RECV 20048450
SEND 20048473
ADD 20048452
RECV 20048476
SEND 20048501
ADD 20048478
RECV 20048502
SEND 20048526
ADD 20048504
RECV 20048529
SEND 20048554
ADD 20048530
RECV 20048557
SEND 20048580
ADD 20048559
RECV 20048582
SEND 20048607
ADD 20048584
RECV 20048609
SEND 20048635
ADD 20048611
RECV 20048637
SEND 20048662
ADD 20048639
RECV 20048664
SEND 20048690
ADD 20048666
RECV 20048692
SEND 20048716
ADD 20048694
RECV 20048718
SEND 20048743
ADD 20048720
RECV 20048745
SEND 20048770
ADD 20048747
RECV 20048772
SEND 20048795
ADD 20048774
RECV 20048797
SEND 20048822
ADD 20048799
RECV 20048824
SEND 20048849
ADD 20048826
RECV 20048851
SEND 20048874
ADD 20048853
RECV 20048877
SEND 20048901
ADD 20048878
RECV 20048903
SEND 20048927
ADD 20048905
RECV 20048930
SEND 20048955
ADD 20048931
RECV 20048957
SEND 20048988
ADD 20048958
RECV 20048990
SEND 20049012
ADD 20048991
RECV 20049014
SEND 20049038
ADD 20049016
RECV 20049040
SEND 20049065
ADD 20049042
RECV 20049068
SEND 20049093
ADD 20049069
RECV 20049094
SEND 20049120
SEND 20049146
SEND 20049172
SEND 20049199
ADD 20049096
RECV 20049270
ADD 20049271
RECV 20049272
ADD 20049273
RECV 20049274
ADD 20049275
RECV 20049276
SEND 20049297
ADD 20049277
RECV 20049298
SEND 20049323
ADD 20049299
RECV 20049325
SEND 20049350
ADD 20049327
RECV 20049352
SEND 20049376
ADD 20049353
RECV 20049379
SEND 20049404
ADD 20049380
RECV 20049406
SEND 20049430
ADD 20049407
RECV 20049432
SEND 20049457
ADD 20049433
RECV 20049459
SEND 20049482
ADD 20049460
RECV 20049484
SEND 20049511
ADD 20049485
RECV 20049513
SEND 20049538
ADD 20049514
RECV 20049539
SEND 20049565
ADD 20049540
RECV 20049567
SEND 20049591
ADD 20049569
RECV 20049593
SEND 20049618
ADD 20049594
RECV 20049620
SEND 20049646
ADD 20049622
RECV 20049648
SEND 20049672
ADD 20049650
RECV 20049675
SEND 20049698
ADD 20049677
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 20049702
SEND 20049727
ADD 20049704
RECV 20049728
SEND 20049752
ADD 20049729
RECV 20049754
SEND 20049778
ADD 20049756
RECV 20049780
SEND 20049805
ADD 20049782
RECV 20049807
SEND 20049837
ADD 20049808
RECV 20049839
SEND 20049864
ADD 20049841
RECV 20049865
SEND 20049891
ADD 20049867
RECV 20049892
SEND 20049920
ADD 20049894
RECV 20049922
SEND 20049949
ADD 20049923
RECV 20049951
SEND 20049975
ADD 20049953
RECV 20049977
SEND 20050004
ADD 20049978
RECV 20050005
SEND 20050032
ADD 20050006
RECV 20050033
SEND 20050060
ADD 20050035
RECV 20050061
SEND 20050087
ADD 20050062
RECV 20050089
SEND 20050116
ADD 20050091
RECV 20050118
SEND 20050144
ADD 20050121
RECV 20050147
SEND 20050173
ADD 20050149
RECV 20050176
SEND 20050200
ADD 20050178
RECV 20050202
SEND 20050229
ADD 20050204
RECV 20050231
SEND 20050257
ADD 20050233
RECV 20050260
SEND 20050285
ADD 20050262
RECV 20050286
SEND 20050312
ADD 20050288
RECV 20050314
SEND 20050341
ADD 20050316
RECV 20050343
SEND 20050368
ADD 20050346
RECV 20050370
SEND 20050396
ADD 20050372
RECV 20050398
SEND 20050425
ADD 20050400
RECV 20050426
SEND 20050453
ADD 20050428
RECV 20050455
SEND 20050479
ADD 20050457
RECV 20050481
SEND 20050508
ADD 20050483
RECV 20050510
SEND 20050536
ADD 20050512
RECV 20050537
SEND 20050564
SEND 20050592
SEND 20050621
SEND 20050647
ADD 20050540
RECV 20050711
ADD 20050712
RECV 20050713
ADD 20050715
RECV 20050716
ADD 20050717
RECV 20050719
SEND 20050745
ADD 20050720
RECV 20050751
SEND 20050779
ADD 20050755
RECV 20050781
SEND 20050807
ADD 20050784
RECV 20050810
SEND 20050833
ADD 20050812
RECV 20050835
SEND 20050863
ADD 20050837
RECV 20050865
SEND 20050889
ADD 20050867
RECV 20050892
SEND 20050916
