Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
ADD 63041799
RECV 63041814
SEND 63041830
ADD 63041816
RECV 63041832
SEND 63041847
ADD 63041834
RECV 63041849
SEND 63041864
SEND 63041880
SEND 63041898
SEND 63041915
ADD 63041851
RECV 63041976
ADD 63041977
RECV 63041978
ADD 63041979
RECV 63041981
ADD 63041983
RECV 63041984
SEND 63041998
ADD 63041986
RECV 63042000
SEND 63042016
ADD 63042002
RECV 63042018
SEND 63042033
ADD 63042022
RECV 63042037
SEND 63042050
ADD 63042039
RECV 63042052
SEND 63042067
ADD 63042054
RECV 63042069
SEND 63042085
ADD 63042071
RECV 63042087
SEND 63042102
ADD 63042089
RECV 63042104
SEND 63042118
ADD 63042106
RECV 63042120
SEND 63042135
ADD 63042123
RECV 63042137
SEND 63042153
ADD 63042140
RECV 63042155
SEND 63042170
ADD 63042158
RECV 63042173
SEND 63042187
ADD 63042175
RECV 63042189
SEND 63042203
ADD 63042191
RECV 63042205
SEND 63042222
ADD 63042207
RECV 63042224
SEND 63042239
ADD 63042226
RECV 63042241
SEND 63042255
ADD 63042243
RECV 63042257
SEND 63042272
ADD 63042259
RECV 63042274
SEND 63042290
ADD 63042276
RECV 63042292
SEND 63042307
ADD 63042294
RECV 63042309
SEND 63042324
ADD 63042312
RECV 63042327
SEND 63042341
ADD 63042330
RECV 63042343
SEND 63042359
ADD 63042350
RECV 63042361
SEND 63042376
ADD 63042363
RECV 63042378
SEND 63042395
ADD 63042380
RECV 63042397
SEND 63042412
ADD 63042399
RECV 63042414
SEND 63042429
ADD 63042416
RECV 63042431
SEND 63042446
ADD 63042433
RECV 63042448
SEND 63042462
ADD 63042450
RECV 63042464
SEND 63042480
ADD 63042466
RECV 63042482
SEND 63042497
ADD 63042484
RECV 63042499
SEND 63042514
ADD 63042501
RECV 63042516
SEND 63042530
ADD 63042518
RECV 63042532
SEND 63042548
ADD 63042534
RECV 63042550
SEND 63042565
ADD 63042552
RECV 63042567
SEND 63042582
ADD 63042568
RECV 63042584
SEND 63042599
ADD 63042585
RECV 63042601
SEND 63042616
ADD 63042602
RECV 63042618
SEND 63042633
ADD 63042619
RECV 63042634
SEND 63042651
ADD 63042636
RECV 63042652
SEND 63042669
ADD 63042654
RECV 63042670
SEND 63042686
ADD 63042672
RECV 63042687
SEND 63042703
ADD 63042689
RECV 63042704
SEND 63042719
ADD 63042706
RECV 63042722
SEND 63042738
ADD 63042724
RECV 63042740
SEND 63042755
ADD 63042742
RECV 63042757
SEND 63042771
ADD 63042758
RECV 63042773
SEND 63042788
SEND 63042806
SEND 63042822
SEND 63042839
ADD 63042775
RECV 63042899
ADD 63042901
RECV 63042902
ADD 63042904
RECV 63042905
ADD 63042907
RECV 63042908
ADD 63042910
RECV 63042918
SEND 63042918
SEND 63042934
ADD 63042919
RECV 63042936
SEND 63042950
ADD 63042938
RECV 63042952
SEND 63042968
ADD 63042953
RECV 63042970
SEND 63042984
ADD 63042971
RECV 63042986
SEND 63043003
ADD 63042987
