Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
RECV 16897197
ADD 16897200
RECV 16897201
ADD 16897204
RECV 16897205
ADD 16897207
RECV 16897209
ADD 16897211
RECV 16897212
ADD 16897215
RECV 16897216
ADD 16897218
RECV 16897219
ADD 16897221
RECV 16897221
ADD 16897224
RECV 16897224
ADD 16897226
RECV 16897227
ADD 16897229
RECV 16897230
ADD 16897232
RECV 16897232
ADD 16897234
RECV 16897236
ADD 16897238
RECV 16897240
ADD 16897242
RECV 16897244
ADD 16897245
RECV 16897246
ADD 16897247
RECV 16897248
ADD 16897249
RECV 16897250
ADD 16897251
RECV 16897253
ADD 16897254
RECV 16897255
ADD 16897256
RECV 16897257
ADD 16897259
RECV 16897260
ADD 16897262
RECV 16897263
ADD 16897265
RECV 16897265
ADD 16897268
RECV 16897268
ADD 16897270
RECV 16897272
ADD 16897274
RECV 16897275
ADD 16897277
RECV 16897279
ADD 16897281
RECV 16897283
ADD 16897285
RECV 16897286
ADD 16897288
RECV 16897290
ADD 16897292
RECV 16897293
ADD 16897295
RECV 16897296
ADD 16897299
RECV 16897300
ADD 16897302
RECV 16897304
ADD 16897307
RECV 16897308
ADD 16897310
RECV 16897311
ADD 16897314
RECV 16897315
ADD 16897317
RECV 16897318
ADD 16897320
RECV 16897321
ADD 16897323
RECV 16897324
ADD 16897326
RECV 16897328
ADD 16897330
RECV 16897330
ADD 16897332
RECV 16897333
ADD 16897335
RECV 16897336
ADD 16897339
RECV 16897340
ADD 16897342
RECV 16897344
ADD 16897346
RECV 16897347
ADD 16897349
RECV 16897350
ADD 16897353
RECV 16897354
ADD 16897356
RECV 16897357
ADD 16897359
RECV 16897361
ADD 16897363
RECV 16897364
ADD 16897367
RECV 16897367
ADD 16897369
RECV 16897370
SEND 16897380
ADD 16897372
RECV 16897382
SEND 16897399
ADD 16897385
RECV 16897401
SEND 16897419
ADD 16897403
RECV 16897421
SEND 16897437
ADD 16897423
RECV 16897439
SEND 16897456
ADD 16897441
RECV 16897458
SEND 16897474
ADD 16897460
RECV 16897476
SEND 16897492
ADD 16897478
RECV 16897494
SEND 16897509
ADD 16897496
RECV 16897510
SEND 16897527
ADD 16897512
RECV 16897528
SEND 16897544
ADD 16897530
RECV 16897546
SEND 16897564
ADD 16897547
RECV 16897566
SEND 16897582
ADD 16897568
RECV 16897584
SEND 16897601
ADD 16897586
RECV 16897602
SEND 16897619
ADD 16897604
RECV 16897621
SEND 16897636
ADD 16897622
RECV 16897639
SEND 16897653
ADD 16897640
RECV 16897656
SEND 16897671
ADD 16897657
RECV 16897673
SEND 16897688
ADD 16897675
RECV 16897691
SEND 16897705
ADD 16897692
RECV 16897707
SEND 16897723
ADD 16897709
RECV 16897725
SEND 16897739
ADD 16897726
RECV 16897741
SEND 16897757
ADD 16897743
RECV 16897759
SEND 16897773
ADD 16897761
RECV 16897776
SEND 16897791
ADD 16897777
RECV 16897794
SEND 16897808
ADD 16897795
RECV 16897810
SEND 16897826
ADD 16897811
RECV 16897828
SEND 16897843
ADD 16897829
RECV 16897845
SEND 16897859
ADD 16897846
RECV 16897862
SEND 16897878
ADD 16897863
RECV 16897880
SEND 16897896
ADD 16897881
RECV 16897898
SEND 16897913
ADD 16897899
RECV 16897915
SEND 16897930
ADD 16897917
RECV 16897932
SEND 16897949
ADD 16897933
RECV 16897952
SEND 16897966
ADD 16897953
RECV 16897968
SEND 16897987
ADD 16897970
RECV 16897989
SEND 16898003
ADD 16897991
RECV 16898006
SEND 16898021
ADD 16898007
RECV 16898023
SEND 16898038
ADD 16898025
RECV 16898040
SEND 16898056
ADD 16898042
RECV 16898058
SEND 16898072
ADD 16898060
RECV 16898074
SEND 16898089
ADD 16898076
RECV 16898091
SEND 16898107
ADD 16898092
RECV 16898110
SEND 16898126
ADD 16898112
RECV 16898128
SEND 16898143
ADD 16898130
RECV 16898145
SEND 16898159
ADD 16898147
RECV 16898168
SEND 16898184
ADD 16898170
RECV 16898186
SEND 16898204
SEND 16898221
SEND 16898240
SEND 16898258
ADD 16898188
RECV 16898319
ADD 16898320
RECV 16898321
ADD 16898322
RECV 16898323
ADD 16898324
RECV 16898325
SEND 16898336
ADD 16898326
RECV 16898337
SEND 16898353
ADD 16898338
RECV 16898355
SEND 16898371
ADD 16898356
RECV 16898372
SEND 16898388
ADD 16898374
RECV 16898390
SEND 16898404
ADD 16898391
RECV 16898406
SEND 16898421
ADD 16898407
RECV 16898423
SEND 16898439
ADD 16898425
RECV 16898441
SEND 16898456
ADD 16898443
RECV 16898458
SEND 16898472
ADD 16898460
RECV 16898475
SEND 16898490
ADD 16898476
RECV 16898492
SEND 16898510
ADD 16898493
RECV 16898512
SEND 16898527
ADD 16898514
RECV 16898528
SEND 16898544
ADD 16898530
RECV 16898547
SEND 16898563
ADD 16898548
RECV 16898565
SEND 16898580
ADD 16898566
RECV 16898582
SEND 16898596
ADD 16898583
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 16898600
SEND 16898614
ADD 16898601
RECV 16898616
SEND 16898631
ADD 16898618
RECV 16898634
SEND 16898649
ADD 16898636
RECV 16898651
SEND 16898666
ADD 16898653
RECV 16898668
SEND 16898684
ADD 16898671
RECV 16898686
SEND 16898701
ADD 16898688
RECV 16898703
SEND 16898719
ADD 16898704
RECV 16898721
SEND 16898735
ADD 16898722
RECV 16898737
SEND 16898752
ADD 16898739
RECV 16898754
SEND 16898770
ADD 16898756
RECV 16898772
SEND 16898787
ADD 16898774
RECV 16898789
SEND 16898805
ADD 16898791
RECV 16898807
SEND 16898822
ADD 16898808
RECV 16898825
SEND 16898840
ADD 16898826
RECV 16898842
SEND 16898860
ADD 16898844
RECV 16898861
SEND 16898876
ADD 16898863
RECV 16898878
SEND 16898893
ADD 16898880
RECV 16898895
SEND 16898911
ADD 16898897
RECV 16898913
SEND 16898927
ADD 16898915
RECV 16898930
SEND 16898944
ADD 16898932
RECV 16898946
SEND 16898961
ADD 16898948
RECV 16898963
SEND 16898980
ADD 16898965
RECV 16898982
SEND 16898997
ADD 16898984
RECV 16898999
SEND 16899014
ADD 16899000
RECV 16899016
SEND 16899031
ADD 16899019
RECV 16899033
SEND 16899048
ADD 16899036
RECV 16899051
SEND 16899066
ADD 16899053
RECV 16899072
SEND 16899085
ADD 16899073
RECV 16899087
SEND 16899102
ADD 16899089
RECV 16899105
SEND 16899120
ADD 16899106
RECV 16899122
SEND 16899139
SEND 16899155
SEND 16899172
SEND 16899191
ADD 16899124
RECV 16899254
ADD 16899256
RECV 16899257
ADD 16899259
RECV 16899261
ADD 16899263
RECV 16899264
SEND 16899271
ADD 16899267
RECV 16899276
SEND 16899289
ADD 16899278
RECV 16899291
SEND 16899307
ADD 16899293
RECV 16899308
SEND 16899324
ADD 16899310
RECV 16899325
SEND 16899341
ADD 16899328
RECV 16899342
SEND 16899358
ADD 16899345
RECV 16899359
SEND 16899375
