Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 320x360
Retargetfactor: 0.5
Extendfactor: 0.25
Frame window size: 100
RECV 42028864
ADD 42028866
RECV 42028868
ADD 42028870
RECV 42028871
ADD 42028874
RECV 42028875
ADD 42028877
RECV 42028878
ADD 42028881
RECV 42028882
ADD 42028884
RECV 42028885
ADD 42028887
RECV 42028888
ADD 42028892
RECV 42028893
ADD 42028895
RECV 42028896
ADD 42028899
RECV 42028901
ADD 42028903
RECV 42028904
ADD 42028907
RECV 42028908
ADD 42028913
RECV 42028914
ADD 42028916
RECV 42028917
ADD 42028919
RECV 42028920
ADD 42028923
RECV 42028923
ADD 42028926
RECV 42028927
ADD 42028929
RECV 42028930
ADD 42028932
RECV 42028933
ADD 42028936
RECV 42028936
ADD 42028939
RECV 42028940
ADD 42028942
RECV 42028943
ADD 42028945
RECV 42028946
ADD 42028950
RECV 42028951
ADD 42028954
RECV 42028955
ADD 42028957
RECV 42028959
ADD 42028961
RECV 42028962
ADD 42028965
RECV 42028965
ADD 42028968
RECV 42028969
ADD 42028971
RECV 42028972
ADD 42028974
RECV 42028975
ADD 42028977
RECV 42028978
ADD 42028980
RECV 42028981
ADD 42028983
RECV 42028984
ADD 42028986
RECV 42028987
ADD 42028989
RECV 42028990
ADD 42028991
RECV 42028993
ADD 42028994
RECV 42028996
ADD 42028997
RECV 42028998
ADD 42029000
RECV 42029002
ADD 42029003
RECV 42029004
ADD 42029006
RECV 42029007
ADD 42029009
RECV 42029010
ADD 42029011
RECV 42029013
ADD 42029014
RECV 42029015
ADD 42029017
RECV 42029018
ADD 42029020
RECV 42029021
ADD 42029023
RECV 42029024
ADD 42029025
RECV 42029027
ADD 42029028
RECV 42029029
ADD 42029031
RECV 42029032
ADD 42029034
RECV 42029035
ADD 42029036
RECV 42029038
ADD 42029039
RECV 42029041
ADD 42029042
RECV 42029043
ADD 42029045
RECV 42029046
ADD 42029048
RECV 42029049
ADD 42029050
RECV 42029052
ADD 42029053
RECV 42029054
ADD 42029056
RECV 42029057
ADD 42029059
RECV 42029060
ADD 42029062
RECV 42029063
ADD 42029064
RECV 42029066
ADD 42029067
RECV 42029068
ADD 42029070
RECV 42029071
ADD 42029073
RECV 42029074
ADD 42029075
RECV 42029077
ADD 42029081
RECV 42029082
ADD 42029084
RECV 42029085
ADD 42029087
