Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 320x360
Retargetfactor: 0.5
Extendfactor: 0.25
Frame window size: 100
RECV 67680498
ADD 67680500
RECV 67680502
ADD 67680506
RECV 67680507
ADD 67680509
RECV 67680511
ADD 67680513
RECV 67680515
ADD 67680517
RECV 67680519
ADD 67680520
RECV 67680521
ADD 67680523
RECV 67680524
ADD 67680525
RECV 67680526
ADD 67680528
RECV 67680528
ADD 67680530
RECV 67680531
ADD 67680532
RECV 67680533
ADD 67680535
RECV 67680536
ADD 67680538
RECV 67680539
ADD 67680540
RECV 67680542
ADD 67680543
RECV 67680544
ADD 67680546
RECV 67680547
ADD 67680550
RECV 67680551
ADD 67680554
RECV 67680555
ADD 67680558
RECV 67680559
ADD 67680561
RECV 67680562
ADD 67680564
RECV 67680566
ADD 67680567
RECV 67680568
ADD 67680570
RECV 67680571
ADD 67680573
RECV 67680574
ADD 67680576
RECV 67680577
ADD 67680579
RECV 67680580
ADD 67680582
RECV 67680583
ADD 67680585
RECV 67680586
ADD 67680587
RECV 67680588
ADD 67680590
RECV 67680590
ADD 67680592
RECV 67680593
ADD 67680595
RECV 67680596
ADD 67680597
RECV 67680598
ADD 67680600
RECV 67680601
ADD 67680603
RECV 67680604
ADD 67680606
RECV 67680606
ADD 67680608
RECV 67680609
ADD 67680610
RECV 67680612
ADD 67680614
RECV 67680615
ADD 67680617
RECV 67680618
ADD 67680621
RECV 67680622
ADD 67680624
RECV 67680625
ADD 67680627
RECV 67680629
ADD 67680632
RECV 67680633
ADD 67680634
RECV 67680636
ADD 67680638
RECV 67680639
ADD 67680641
RECV 67680642
ADD 67680644
RECV 67680646
ADD 67680648
RECV 67680649
ADD 67680652
RECV 67680653
ADD 67680655
RECV 67680656
ADD 67680658
RECV 67680659
ADD 67680661
RECV 67680663
ADD 67680665
RECV 67680666
ADD 67680667
RECV 67680669
ADD 67680670
RECV 67680671
ADD 67680673
RECV 67680674
ADD 67680676
RECV 67680677
ADD 67680680
RECV 67680681
ADD 67680683
RECV 67680683
ADD 67680685
RECV 67680686
ADD 67680687
RECV 67680689
ADD 67680691
RECV 67680692
ADD 67680694
RECV 67680696
ADD 67680698
RECV 67680699
ADD 67680702
RECV 67680703
ADD 67680706
RECV 67680706
ADD 67680709
RECV 67680710
ADD 67680712
RECV 67680713
ADD 67680715
