Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 100
RECV 19749662
ADD 19749663
RECV 19749665
ADD 19749667
RECV 19749668
ADD 19749670
RECV 19749671
ADD 19749673
RECV 19749674
ADD 19749675
RECV 19749677
ADD 19749678
RECV 19749679
ADD 19749681
RECV 19749682
ADD 19749684
RECV 19749685
ADD 19749686
RECV 19749688
ADD 19749690
RECV 19749691
ADD 19749693
RECV 19749694
ADD 19749697
RECV 19749698
ADD 19749701
RECV 19749702
ADD 19749703
RECV 19749704
ADD 19749706
RECV 19749707
ADD 19749709
RECV 19749710
ADD 19749711
RECV 19749713
ADD 19749714
RECV 19749715
ADD 19749717
RECV 19749718
ADD 19749720
RECV 19749721
ADD 19749723
RECV 19749724
ADD 19749726
RECV 19749727
ADD 19749729
RECV 19749730
ADD 19749731
RECV 19749732
ADD 19749733
RECV 19749734
ADD 19749735
RECV 19749736
ADD 19749737
RECV 19749738
ADD 19749740
RECV 19749741
ADD 19749742
RECV 19749744
ADD 19749745
RECV 19749746
ADD 19749747
RECV 19749748
ADD 19749749
RECV 19749750
ADD 19749751
RECV 19749752
ADD 19749753
RECV 19749755
ADD 19749756
RECV 19749758
ADD 19749761
RECV 19749763
ADD 19749765
RECV 19749767
ADD 19749769
RECV 19749770
ADD 19749772
RECV 19749773
ADD 19749775
RECV 19749776
ADD 19749778
RECV 19749779
ADD 19749781
RECV 19749782
ADD 19749784
RECV 19749785
ADD 19749787
RECV 19749787
ADD 19749789
RECV 19749790
ADD 19749791
RECV 19749792
ADD 19749794
RECV 19749794
ADD 19749796
RECV 19749797
ADD 19749799
RECV 19749799
ADD 19749801
RECV 19749802
ADD 19749804
RECV 19749805
ADD 19749807
RECV 19749808
ADD 19749810
RECV 19749811
ADD 19749813
RECV 19749813
ADD 19749815
RECV 19749816
ADD 19749818
RECV 19749819
ADD 19749821
RECV 19749821
ADD 19749823
RECV 19749824
ADD 19749826
RECV 19749827
ADD 19749829
RECV 19749830
ADD 19749832
RECV 19749832
ADD 19749834
RECV 19749835
ADD 19749837
RECV 19749838
ADD 19749840
RECV 19749840
ADD 19749842
RECV 19749843
ADD 19749845
RECV 19749846
ADD 19749848
RECV 19749849
ADD 19749851
RECV 19749852
ADD 19749855
RECV 19749856
ADD 19749858
RECV 19749858
ADD 19749860
RECV 19749861
ADD 19749864
RECV 19749865
ADD 19749868
RECV 19749869
ADD 19749870
RECV 19749872
ADD 19749874
RECV 19749875
ADD 19749877
RECV 19749878
ADD 19749880
RECV 19749881
ADD 19749882
RECV 19749883
ADD 19749885
RECV 19749886
ADD 19749887
RECV 19749888
ADD 19749889
RECV 19749890
ADD 19749892
RECV 19749893
ADD 19749894
RECV 19749895
ADD 19749897
RECV 19749898
ADD 19749899
RECV 19749900
ADD 19749901
RECV 19749902
ADD 19749904
RECV 19749904
ADD 19749906
RECV 19749906
ADD 19749908
RECV 19749908
ADD 19749910
RECV 19749911
ADD 19749912
RECV 19749913
ADD 19749914
RECV 19749915
ADD 19749916
RECV 19749917
ADD 19749918
RECV 19749919
ADD 19749920
RECV 19749921
ADD 19749922
RECV 19749923
ADD 19749924
RECV 19749925
ADD 19749927
RECV 19749927
ADD 19749929
RECV 19749929
ADD 19749931
RECV 19749931
ADD 19749933
RECV 19749935
ADD 19749937
RECV 19749938
ADD 19749939
RECV 19749940
ADD 19749941
RECV 19749942
SEND 19749955
ADD 19749943
RECV 19749959
SEND 19749975
ADD 19749960
RECV 19749977
SEND 19749994
ADD 19749978
RECV 19749995
SEND 19750014
ADD 19749997
RECV 19750016
SEND 19750033
ADD 19750017
RECV 19750035
SEND 19750050
ADD 19750036
RECV 19750052
SEND 19750067
ADD 19750053
RECV 19750069
SEND 19750085
ADD 19750070
RECV 19750087
SEND 19750103
ADD 19750088
SEND 19750119
SEND 19750136
SEND 19750154
SEND 19750171
SEND 19750188
SEND 19750205
SEND 19750224
SEND 19750241
SEND 19750257
SEND 19750274
SEND 19750292
SEND 19750309
SEND 19750325
SEND 19750342
SEND 19750360
SEND 19750377
SEND 19750393
SEND 19750410
SEND 19750428
SEND 19750445
SEND 19750461
SEND 19750478
SEND 19750496
SEND 19750513
SEND 19750529
SEND 19750546
SEND 19750563
RECV 19750576
ADD 19750577
RECV 19750578
SEND 19750581
ADD 19750580
RECV 19750581
ADD 19750582
RECV 19750583
ADD 19750585
RECV 19750586
ADD 19750587
RECV 19750588
ADD 19750589
RECV 19750591
ADD 19750592
SEND 19750597
SEND 19750615
SEND 19750632
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 19750646
SEND 19750649
ADD 19750648
RECV 19750653
ADD 19750655
RECV 19750656
ADD 19750658
RECV 19750660
ADD 19750661
RECV 19750665
SEND 19750666
ADD 19750669
RECV 19750671
ADD 19750672
SEND 19750683
RECV 19750690
ADD 19750693
RECV 19750694
ADD 19750696
RECV 19750698
ADD 19750700
SEND 19750702
RECV 19750702
ADD 19750706
RECV 19750710
ADD 19750711
RECV 19750714
ADD 19750716
RECV 19750717
SEND 19750719
ADD 19750719
RECV 19750720
ADD 19750721
RECV 19750730
ADD 19750732
RECV 19750734
SEND 19750736
ADD 19750736
RECV 19750741
ADD 19750743
RECV 19750744
ADD 19750746
RECV 19750747
ADD 19750748
RECV 19750750
ADD 19750752
SEND 19750753
RECV 19750756
ADD 19750757
RECV 19750760
ADD 19750762
RECV 19750768
ADD 19750770
RECV 19750771
SEND 19750772
ADD 19750773
RECV 19750778
ADD 19750779
RECV 19750782
ADD 19750784
RECV 19750787
SEND 19750789
ADD 19750789
RECV 19750793
ADD 19750795
RECV 19750799
ADD 19750801
SEND 19750805
RECV 19750805
ADD 19750808
RECV 19750812
ADD 19750814
RECV 19750816
ADD 19750818
RECV 19750821
SEND 19750823
ADD 19750823
RECV 19750827
ADD 19750829
RECV 19750839
SEND 19750841
ADD 19750841
RECV 19750843
ADD 19750845
RECV 19750847
SEND 19750858
ADD 19750849
RECV 19750861
SEND 19750874
ADD 19750863
RECV 19750877
SEND 19750891
ADD 19750879
RECV 19750894
SEND 19750911
ADD 19750896
RECV 19750913
SEND 19750928
ADD 19750914
RECV 19750931
SEND 19750945
ADD 19750933
RECV 19750946
SEND 19750963
ADD 19750948
RECV 19750964
SEND 19750980
ADD 19750966
RECV 19750982
SEND 19750996
ADD 19750984
RECV 19750999
SEND 19751014
ADD 19751001
RECV 19751016
SEND 19751031
ADD 19751018
RECV 19751033
SEND 19751048
ADD 19751036
RECV 19751050
SEND 19751065
ADD 19751052
RECV 19751068
SEND 19751084
ADD 19751070
RECV 19751086
SEND 19751100
ADD 19751088
RECV 19751102
SEND 19751118
ADD 19751105
RECV 19751120
SEND 19751136
ADD 19751122
RECV 19751138
SEND 19751153
ADD 19751140
RECV 19751155
SEND 19751169
ADD 19751157
RECV 19751172
SEND 19751186
ADD 19751174
RECV 19751188
SEND 19751203
ADD 19751191
RECV 19751205
