Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 480x360
Retargetfactor: 0.75
Extendfactor: 0.25
Frame window size: 50
RECV 22939552
ADD 22939555
RECV 22939557
ADD 22939559
RECV 22939561
ADD 22939563
RECV 22939564
ADD 22939565
RECV 22939566
ADD 22939568
RECV 22939569
ADD 22939571
RECV 22939573
ADD 22939574
RECV 22939575
ADD 22939577
RECV 22939578
ADD 22939580
RECV 22939581
ADD 22939582
RECV 22939584
ADD 22939586
RECV 22939588
ADD 22939590
RECV 22939591
ADD 22939593
RECV 22939594
ADD 22939595
RECV 22939597
ADD 22939599
RECV 22939602
ADD 22939611
RECV 22939613
ADD 22939616
RECV 22939617
ADD 22939619
RECV 22939621
ADD 22939622
RECV 22939623
ADD 22939625
RECV 22939626
ADD 22939627
RECV 22939628
ADD 22939630
RECV 22939631
ADD 22939633
RECV 22939634
ADD 22939638
RECV 22939639
ADD 22939641
RECV 22939642
ADD 22939645
RECV 22939646
ADD 22939648
RECV 22939650
ADD 22939653
RECV 22939654
ADD 22939662
RECV 22939663
ADD 22939666
RECV 22939668
ADD 22939670
RECV 22939672
ADD 22939674
RECV 22939676
ADD 22939678
RECV 22939679
ADD 22939682
RECV 22939683
ADD 22939685
RECV 22939687
ADD 22939689
RECV 22939690
ADD 22939692
RECV 22939694
ADD 22939696
RECV 22939697
ADD 22939699
RECV 22939700
ADD 22939702
RECV 22939704
ADD 22939706
RECV 22939707
ADD 22939709
RECV 22939712
ADD 22939714
RECV 22939714
ADD 22939716
RECV 22939717
ADD 22939719
RECV 22939720
ADD 22939722
RECV 22939723
ADD 22939725
RECV 22939725
ADD 22939729
RECV 22939730
ADD 22939732
RECV 22939734
ADD 22939736
RECV 22939737
ADD 22939739
RECV 22939742
ADD 22939744
RECV 22939745
ADD 22939747
RECV 22939748
ADD 22939750
RECV 22939751
SEND 22939773
ADD 22939753
RECV 22939775
SEND 22939803
ADD 22939778
RECV 22939804
SEND 22939832
ADD 22939806
RECV 22939834
SEND 22939861
ADD 22939836
RECV 22939863
SEND 22939889
ADD 22939868
RECV 22939891
SEND 22939917
ADD 22939893
RECV 22939919
SEND 22939944
ADD 22939921
RECV 22939947
SEND 22939972
ADD 22939949
RECV 22939974
SEND 22940001
ADD 22939976
RECV 22940003
SEND 22940027
ADD 22940005
RECV 22940030
SEND 22940054
ADD 22940032
RECV 22940057
SEND 22940080
ADD 22940059
RECV 22940082
SEND 22940107
ADD 22940084
RECV 22940109
SEND 22940133
ADD 22940111
RECV 22940136
SEND 22940159
ADD 22940137
RECV 22940162
SEND 22940186
ADD 22940163
RECV 22940188
SEND 22940212
ADD 22940189
RECV 22940214
SEND 22940239
ADD 22940216
RECV 22940241
SEND 22940266
ADD 22940243
RECV 22940267
SEND 22940291
ADD 22940269
RECV 22940293
SEND 22940318
ADD 22940295
RECV 22940320
SEND 22940345
ADD 22940322
RECV 22940347
SEND 22940373
ADD 22940349
RECV 22940375
SEND 22940400
ADD 22940376
RECV 22940402
SEND 22940426
ADD 22940403
RECV 22940428
SEND 22940453
ADD 22940430
RECV 22940454
SEND 22940478
ADD 22940456
RECV 22940480
SEND 22940505
ADD 22940482
RECV 22940507
SEND 22940532
ADD 22940509
RECV 22940534
SEND 22940558
ADD 22940536
RECV 22940561
SEND 22940584
ADD 22940563
RECV 22940586
SEND 22940611
ADD 22940588
RECV 22940613
SEND 22940638
ADD 22940615
RECV 22940640
SEND 22940664
ADD 22940642
RECV 22940666
SEND 22940690
ADD 22940668
RECV 22940692
SEND 22940717
ADD 22940694
RECV 22940719
SEND 22940744
ADD 22940721
RECV 22940746
SEND 22940771
ADD 22940748
RECV 22940774
SEND 22940797
ADD 22940775
RECV 22940799
SEND 22940824
ADD 22940801
RECV 22940826
SEND 22940851
ADD 22940828
RECV 22940853
SEND 22940878
ADD 22940855
RECV 22940880
SEND 22940903
ADD 22940882
RECV 22940905
SEND 22940930
ADD 22940907
RECV 22940932
SEND 22940957
ADD 22940934
RECV 22940959
SEND 22940984
ADD 22940961
RECV 22940986
SEND 22941010
SEND 22941037
SEND 22941065
SEND 22941090
ADD 22940988
RECV 22941152
ADD 22941154
RECV 22941154
ADD 22941155
RECV 22941156
ADD 22941157
RECV 22941158
SEND 22941183
ADD 22941159
RECV 22941184
SEND 22941209
ADD 22941186
RECV 22941211
SEND 22941236
ADD 22941213
RECV 22941238
SEND 22941265
ADD 22941240
RECV 22941267
SEND 22941290
ADD 22941268
RECV 22941292
SEND 22941318
ADD 22941294
RECV 22941320
SEND 22941343
ADD 22941321
RECV 22941345
SEND 22941369
ADD 22941346
RECV 22941370
SEND 22941396
ADD 22941372
RECV 22941397
SEND 22941424
ADD 22941399
RECV 22941426
SEND 22941451
ADD 22941428
RECV 22941453
SEND 22941480
ADD 22941454
RECV 22941480
SEND 22941506
ADD 22941482
RECV 22941509
SEND 22941535
ADD 22941510
RECV 22941538
SEND 22941564
ADD 22941539
RECV 22941566
SEND 22941590
ADD 22941567
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 22941592
SEND 22941618
ADD 22941594
RECV 22941620
SEND 22941646
ADD 22941621
RECV 22941647
SEND 22941677
ADD 22941649
RECV 22941679
SEND 22941703
ADD 22941681
RECV 22941704
SEND 22941730
ADD 22941706
RECV 22941732
SEND 22941757
ADD 22941734
RECV 22941759
SEND 22941784
ADD 22941761
RECV 22941787
SEND 22941811
ADD 22941789
RECV 22941814
SEND 22941839
ADD 22941817
RECV 22941841
SEND 22941871
ADD 22941843
RECV 22941874
SEND 22941893
ADD 22941877
RECV 22941895
SEND 22941921
ADD 22941897
RECV 22941922
SEND 22941949
ADD 22941930
RECV 22941952
SEND 22941977
ADD 22941954
RECV 22941982
SEND 22942008
ADD 22941984
RECV 22942010
SEND 22942035
ADD 22942012
RECV 22942037
SEND 22942063
ADD 22942045
RECV 22942065
SEND 22942091
ADD 22942068
RECV 22942094
SEND 22942119
ADD 22942096
RECV 22942121
SEND 22942147
ADD 22942123
RECV 22942149
SEND 22942174
ADD 22942151
RECV 22942176
SEND 22942201
ADD 22942178
RECV 22942202
SEND 22942228
ADD 22942205
RECV 22942229
SEND 22942255
ADD 22942231
RECV 22942257
SEND 22942284
ADD 22942262
RECV 22942288
SEND 22942313
ADD 22942290
RECV 22942315
SEND 22942342
ADD 22942317
RECV 22942344
SEND 22942377
ADD 22942346
RECV 22942379
SEND 22942407
ADD 22942380
RECV 22942408
SEND 22942436
ADD 22942410
RECV 22942437
SEND 22942465
SEND 22942492
SEND 22942520
SEND 22942548
ADD 22942439
RECV 22942616
ADD 22942618
RECV 22942619
ADD 22942621
RECV 22942622
ADD 22942624
RECV 22942625
SEND 22942646
ADD 22942628
RECV 22942647
SEND 22942672
ADD 22942649
RECV 22942675
SEND 22942703
ADD 22942676
RECV 22942704
SEND 22942730
ADD 22942706
RECV 22942731
SEND 22942757
ADD 22942733
RECV 22942758
SEND 22942785
ADD 22942761
RECV 22942787
SEND 22942811
