Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 854x480
Target size: 724x480
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
RECV 40227893
ADD 40227896
RECV 40227898
ADD 40227901
RECV 40227902
ADD 40227906
RECV 40227908
ADD 40227911
RECV 40227914
ADD 40227917
RECV 40227919
ADD 40227923
RECV 40227925
ADD 40227929
RECV 40227930
ADD 40227934
RECV 40227935
ADD 40227939
RECV 40227941
ADD 40227944
RECV 40227946
ADD 40227949
RECV 40227951
ADD 40227954
RECV 40227956
ADD 40227959
RECV 40227961
ADD 40227964
RECV 40227966
ADD 40227968
RECV 40227970
ADD 40227972
RECV 40227974
ADD 40227976
RECV 40227979
ADD 40227981
RECV 40227983
ADD 40227985
RECV 40227987
ADD 40227989
RECV 40227991
ADD 40227993
RECV 40227995
ADD 40227997
RECV 40227999
ADD 40228003
RECV 40228004
ADD 40228007
RECV 40228009
ADD 40228013
RECV 40228015
ADD 40228019
RECV 40228021
ADD 40228025
RECV 40228027
ADD 40228031
RECV 40228033
ADD 40228037
RECV 40228039
ADD 40228043
RECV 40228044
ADD 40228048
RECV 40228049
ADD 40228053
RECV 40228054
ADD 40228058
RECV 40228059
ADD 40228063
RECV 40228065
ADD 40228068
RECV 40228070
ADD 40228073
RECV 40228075
ADD 40228078
RECV 40228080
ADD 40228084
RECV 40228085
ADD 40228088
RECV 40228090
ADD 40228093
RECV 40228095
ADD 40228099
RECV 40228100
ADD 40228104
RECV 40228106
ADD 40228109
RECV 40228111
ADD 40228114
RECV 40228116
ADD 40228119
RECV 40228121
ADD 40228124
RECV 40228126
ADD 40228129
RECV 40228131
ADD 40228134
RECV 40228136
ADD 40228139
RECV 40228141
ADD 40228144
RECV 40228146
ADD 40228148
RECV 40228152
ADD 40228154
RECV 40228156
ADD 40228158
RECV 40228159
ADD 40228162
RECV 40228163
SEND 40228184
ADD 40228165
RECV 40228187
SEND 40228223
ADD 40228193
RECV 40228226
SEND 40228256
ADD 40228228
RECV 40228258
SEND 40228286
ADD 40228261
RECV 40228289
SEND 40228318
ADD 40228292
RECV 40228320
SEND 40228351
ADD 40228323
RECV 40228354
SEND 40228382
ADD 40228356
RECV 40228384
SEND 40228412
ADD 40228387
RECV 40228415
SEND 40228447
ADD 40228417
RECV 40228449
SEND 40228480
ADD 40228451
RECV 40228483
SEND 40228512
