Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x352
Target size: 480x352
Retargetfactor: 0.75
Extendfactor: 0.25
Frame window size: 50
RECV 6009313
ADD 6009315
RECV 6009322
ADD 6009324
RECV 6009326
ADD 6009329
RECV 6009331
ADD 6009333
RECV 6009336
ADD 6009338
RECV 6009340
ADD 6009342
RECV 6009345
ADD 6009348
RECV 6009349
ADD 6009353
RECV 6009354
ADD 6009357
RECV 6009358
ADD 6009361
RECV 6009362
ADD 6009366
RECV 6009367
ADD 6009370
RECV 6009371
ADD 6009374
RECV 6009375
ADD 6009378
RECV 6009379
ADD 6009382
RECV 6009383
ADD 6009386
RECV 6009387
ADD 6009390
RECV 6009391
ADD 6009395
RECV 6009396
ADD 6009399
RECV 6009400
ADD 6009403
RECV 6009404
ADD 6009407
RECV 6009408
ADD 6009411
RECV 6009412
ADD 6009415
RECV 6009417
ADD 6009420
RECV 6009421
ADD 6009424
RECV 6009425
ADD 6009428
RECV 6009429
ADD 6009432
RECV 6009433
ADD 6009436
RECV 6009437
ADD 6009440
RECV 6009441
ADD 6009444
RECV 6009445
ADD 6009449
RECV 6009450
ADD 6009453
RECV 6009454
ADD 6009456
RECV 6009457
ADD 6009460
RECV 6009461
ADD 6009464
RECV 6009465
ADD 6009468
RECV 6009469
ADD 6009472
RECV 6009473
ADD 6009476
RECV 6009477
ADD 6009480
RECV 6009481
ADD 6009484
RECV 6009485
ADD 6009488
RECV 6009489
ADD 6009492
RECV 6009493
ADD 6009496
RECV 6009498
ADD 6009501
RECV 6009502
ADD 6009505
RECV 6009506
ADD 6009509
RECV 6009510
ADD 6009513
RECV 6009514
ADD 6009517
RECV 6009518
ADD 6009521
RECV 6009522
ADD 6009525
RECV 6009526
ADD 6009528
RECV 6009530
ADD 6009533
RECV 6009534
ADD 6009536
RECV 6009537
ADD 6009539
RECV 6009539
SEND 6009558
ADD 6009541
RECV 6009561
SEND 6009589
ADD 6009563
RECV 6009591
SEND 6009618
ADD 6009593
RECV 6009620
SEND 6009646
ADD 6009622
RECV 6009648
SEND 6009674
ADD 6009650
RECV 6009677
SEND 6009702
ADD 6009680
RECV 6009705
SEND 6009728
ADD 6009707
RECV 6009731
SEND 6009755
ADD 6009734
RECV 6009757
SEND 6009781
ADD 6009759
RECV 6009782
SEND 6009808
ADD 6009785
RECV 6009810
SEND 6009833
