Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 480x360
Retargetfactor: 0.75
Extendfactor: 0.25
Frame window size: 100
RECV 23230893
ADD 23230895
RECV 23230897
ADD 23230898
RECV 23230899
ADD 23230901
RECV 23230903
ADD 23230904
RECV 23230906
ADD 23230907
RECV 23230908
ADD 23230910
RECV 23230911
ADD 23230913
RECV 23230915
ADD 23230916
RECV 23230917
ADD 23230919
RECV 23230920
ADD 23230922
RECV 23230923
ADD 23230925
RECV 23230927
ADD 23230928
RECV 23230929
ADD 23230931
RECV 23230932
ADD 23230934
RECV 23230934
ADD 23230936
RECV 23230937
ADD 23230940
RECV 23230940
ADD 23230942
RECV 23230943
ADD 23230944
RECV 23230945
ADD 23230946
RECV 23230947
ADD 23230948
RECV 23230949
ADD 23230951
RECV 23230951
ADD 23230953
RECV 23230953
ADD 23230955
RECV 23230956
ADD 23230957
RECV 23230958
ADD 23230960
RECV 23230960
ADD 23230962
RECV 23230962
ADD 23230964
RECV 23230965
ADD 23230966
RECV 23230967
ADD 23230969
RECV 23230969
ADD 23230972
RECV 23230972
ADD 23230974
RECV 23230975
ADD 23230977
RECV 23230978
ADD 23230980
RECV 23230980
ADD 23230982
RECV 23230982
ADD 23230984
RECV 23230985
ADD 23230986
RECV 23230987
ADD 23230988
RECV 23230989
ADD 23230992
RECV 23230992
ADD 23230994
RECV 23230995
ADD 23230997
RECV 23230998
ADD 23231000
RECV 23231001
ADD 23231003
RECV 23231004
ADD 23231006
RECV 23231007
ADD 23231009
RECV 23231010
ADD 23231011
RECV 23231013
ADD 23231015
RECV 23231016
ADD 23231018
RECV 23231019
ADD 23231021
RECV 23231022
ADD 23231024
RECV 23231026
ADD 23231028
RECV 23231029
ADD 23231031
RECV 23231032
ADD 23231035
RECV 23231036
ADD 23231038
RECV 23231039
ADD 23231042
RECV 23231043
ADD 23231045
RECV 23231046
ADD 23231048
RECV 23231049
ADD 23231051
RECV 23231052
ADD 23231054
RECV 23231055
ADD 23231058
RECV 23231059
ADD 23231061
RECV 23231062
ADD 23231064
RECV 23231066
ADD 23231068
RECV 23231069
ADD 23231071
RECV 23231073
ADD 23231075
RECV 23231076
ADD 23231079
RECV 23231080
ADD 23231082
RECV 23231084
ADD 23231086
RECV 23231087
ADD 23231089
RECV 23231091
ADD 23231093
RECV 23231095
ADD 23231096
RECV 23231098
ADD 23231099
RECV 23231100
ADD 23231102
RECV 23231102
ADD 23231104
RECV 23231105
ADD 23231107
RECV 23231108
ADD 23231110
RECV 23231111
ADD 23231113
RECV 23231114
ADD 23231116
RECV 23231118
ADD 23231120
RECV 23231121
ADD 23231123
RECV 23231125
ADD 23231129
RECV 23231130
ADD 23231133
RECV 23231134
ADD 23231136
RECV 23231137
ADD 23231139
RECV 23231141
ADD 23231143
RECV 23231144
ADD 23231147
RECV 23231148
ADD 23231150
RECV 23231152
ADD 23231153
RECV 23231155
ADD 23231157
RECV 23231158
ADD 23231160
RECV 23231161
ADD 23231163
RECV 23231165
ADD 23231167
RECV 23231169
ADD 23231171
RECV 23231172
ADD 23231174
RECV 23231175
ADD 23231177
RECV 23231178
ADD 23231180
RECV 23231180
ADD 23231182
RECV 23231184
ADD 23231186
RECV 23231189
ADD 23231191
RECV 23231193
ADD 23231195
RECV 23231196
ADD 23231198
RECV 23231200
ADD 23231202
RECV 23231205
ADD 23231207
RECV 23231208
ADD 23231210
RECV 23231212
ADD 23231214
RECV 23231215
SEND 23231238
ADD 23231217
RECV 23231240
SEND 23231268
ADD 23231242
RECV 23231270
SEND 23231297
ADD 23231272
RECV 23231299
SEND 23231327
ADD 23231301
RECV 23231329
SEND 23231356
ADD 23231330
RECV 23231358
SEND 23231383
ADD 23231360
RECV 23231385
SEND 23231412
ADD 23231387
RECV 23231415
SEND 23231442
ADD 23231417
RECV 23231445
SEND 23231468
ADD 23231447
RECV 23231470
SEND 23231494
ADD 23231472
RECV 23231496
SEND 23231521
ADD 23231498
RECV 23231523
SEND 23231548
ADD 23231525
RECV 23231550
SEND 23231575
ADD 23231551
RECV 23231577
SEND 23231602
ADD 23231579
RECV 23231604
SEND 23231629
ADD 23231606
RECV 23231631
SEND 23231655
ADD 23231633
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 23231658
SEND 23231684
ADD 23231660
RECV 23231686
SEND 23231712
ADD 23231687
RECV 23231713
SEND 23231738
ADD 23231715
RECV 23231741
SEND 23231765
ADD 23231743
RECV 23231767
SEND 23231793
ADD 23231769
RECV 23231795
SEND 23231819
ADD 23231797
RECV 23231821
SEND 23231846
ADD 23231823
RECV 23231848
SEND 23231872
ADD 23231850
RECV 23231874
SEND 23231899
ADD 23231876
RECV 23231901
SEND 23231925
ADD 23231903
RECV 23231927
SEND 23231951
ADD 23231929
RECV 23231954
SEND 23231977
ADD 23231956
RECV 23231980
SEND 23232005
ADD 23231982
RECV 23232007
SEND 23232031
ADD 23232009
RECV 23232032
SEND 23232061
ADD 23232040
RECV 23232062
SEND 23232088
ADD 23232065
RECV 23232090
SEND 23232116
ADD 23232092
RECV 23232118
SEND 23232144
ADD 23232119
RECV 23232147
SEND 23232170
ADD 23232149
RECV 23232172
SEND 23232196
ADD 23232175
RECV 23232198
SEND 23232225
ADD 23232200
RECV 23232227
SEND 23232253
ADD 23232229
RECV 23232255
SEND 23232279
ADD 23232257
RECV 23232281
SEND 23232305
ADD 23232283
RECV 23232307
SEND 23232332
ADD 23232310
RECV 23232334
SEND 23232359
ADD 23232336
RECV 23232361
SEND 23232385
ADD 23232363
RECV 23232387
SEND 23232411
ADD 23232389
RECV 23232413
SEND 23232438
ADD 23232416
RECV 23232440
SEND 23232464
ADD 23232442
RECV 23232467
SEND 23232492
ADD 23232469
RECV 23232494
SEND 23232519
ADD 23232497
RECV 23232521
SEND 23232546
ADD 23232523
RECV 23232549
SEND 23232573
ADD 23232551
RECV 23232575
SEND 23232601
ADD 23232577
RECV 23232603
SEND 23232627
ADD 23232605
RECV 23232629
SEND 23232653
ADD 23232631
RECV 23232655
SEND 23232679
ADD 23232657
RECV 23232681
SEND 23232707
ADD 23232683
RECV 23232709
SEND 23232732
ADD 23232711
RECV 23232734
SEND 23232758
ADD 23232737
RECV 23232761
SEND 23232785
ADD 23232763
RECV 23232787
SEND 23232812
ADD 23232789
RECV 23232814
SEND 23232837
ADD 23232816
RECV 23232840
SEND 23232863
ADD 23232842
RECV 23232865
SEND 23232890
ADD 23232867
RECV 23232892
SEND 23232916
ADD 23232897
RECV 23232919
SEND 23232944
ADD 23232921
RECV 23232947
SEND 23232969
ADD 23232949
RECV 23232971
SEND 23232995
ADD 23232973
RECV 23232998
SEND 23233022
ADD 23233001
RECV 23233023
SEND 23233048
ADD 23233026
RECV 23233050
SEND 23233074
ADD 23233052
RECV 23233076
SEND 23233100
ADD 23233079
RECV 23233103
SEND 23233126
ADD 23233105
RECV 23233129
SEND 23233154
ADD 23233132
RECV 23233156
SEND 23233180
ADD 23233159
RECV 23233182
