Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 320x360
Retargetfactor: 0.5
Extendfactor: 0.25
Frame window size: 100
RECV 18999756
ADD 18999757
RECV 18999759
ADD 18999761
RECV 18999764
ADD 18999767
RECV 18999771
ADD 18999772
RECV 18999774
ADD 18999775
RECV 18999777
ADD 18999778
RECV 18999780
ADD 18999782
RECV 18999783
ADD 18999785
RECV 18999787
ADD 18999788
RECV 18999789
ADD 18999790
RECV 18999791
ADD 18999792
RECV 18999794
ADD 18999796
RECV 18999798
ADD 18999799
RECV 18999800
ADD 18999802
RECV 18999805
ADD 18999806
RECV 18999807
ADD 18999809
RECV 18999810
ADD 18999812
RECV 18999814
ADD 18999815
RECV 18999816
ADD 18999818
RECV 18999819
ADD 18999821
RECV 18999823
ADD 18999824
RECV 18999826
ADD 18999828
RECV 18999829
ADD 18999831
RECV 18999832
ADD 18999834
RECV 18999836
ADD 18999838
RECV 18999840
ADD 18999841
RECV 18999842
ADD 18999844
RECV 18999846
ADD 18999847
RECV 18999849
ADD 18999850
RECV 18999852
ADD 18999854
RECV 18999856
ADD 18999858
RECV 18999859
ADD 18999861
RECV 18999862
ADD 18999864
RECV 18999866
ADD 18999867
RECV 18999869
ADD 18999871
RECV 18999872
ADD 18999874
RECV 18999875
ADD 18999877
RECV 18999879
ADD 18999880
RECV 18999882
ADD 18999883
RECV 18999884
ADD 18999886
RECV 18999888
ADD 18999890
RECV 18999891
ADD 18999893
RECV 18999894
ADD 18999895
RECV 18999897
ADD 18999898
RECV 18999900
ADD 18999901
RECV 18999904
ADD 18999905
RECV 18999907
ADD 18999908
RECV 18999909
ADD 18999911
RECV 18999913
ADD 18999914
RECV 18999915
ADD 18999916
RECV 18999918
ADD 18999919
RECV 18999921
ADD 18999922
RECV 18999923
ADD 18999925
RECV 18999927
ADD 18999928
RECV 18999930
ADD 18999931
RECV 18999932
ADD 18999934
RECV 18999935
ADD 18999937
RECV 18999939
ADD 18999940
RECV 18999941
ADD 18999943
RECV 18999944
ADD 18999945
RECV 18999946
ADD 18999948
RECV 18999949
ADD 18999950
RECV 18999951
ADD 18999953
RECV 18999954
ADD 18999956
RECV 18999957
ADD 18999958
RECV 18999959
ADD 18999961
RECV 18999962
ADD 18999963
RECV 18999964
ADD 18999966
RECV 18999967
ADD 18999968
RECV 18999970
ADD 18999971
RECV 18999972
ADD 18999974
RECV 18999975
ADD 18999976
RECV 18999977
ADD 18999979
RECV 18999980
ADD 18999982
RECV 18999983
ADD 18999985
RECV 18999986
ADD 18999988
RECV 18999989
ADD 18999991
RECV 18999992
ADD 18999994
RECV 18999995
ADD 18999997
RECV 18999998
ADD 19000000
RECV 19000001
ADD 19000003
RECV 19000004
ADD 19000005
RECV 19000007
ADD 19000009
RECV 19000010
ADD 19000012
RECV 19000013
ADD 19000014
RECV 19000016
ADD 19000017
RECV 19000018
ADD 19000020
RECV 19000022
ADD 19000023
RECV 19000025
ADD 19000027
RECV 19000028
ADD 19000030
RECV 19000031
ADD 19000033
RECV 19000035
ADD 19000037
RECV 19000038
ADD 19000040
RECV 19000041
ADD 19000043
RECV 19000045
ADD 19000047
RECV 19000049
ADD 19000051
RECV 19000053
ADD 19000055
RECV 19000060
ADD 19000062
RECV 19000074
ADD 19000078
RECV 19000079
ADD 19000081
RECV 19000082
ADD 19000084
RECV 19000087
ADD 19000088
RECV 19000089
ADD 19000090
RECV 19000091
ADD 19000093
RECV 19000095
SEND 19000140
ADD 19000097
RECV 19000142
SEND 19000194
ADD 19000144
RECV 19000196
SEND 19000248
ADD 19000198
RECV 19000249
SEND 19000305
ADD 19000250
RECV 19000308
SEND 19000353
ADD 19000309
RECV 19000355
SEND 19000402
ADD 19000357
RECV 19000404
SEND 19000451
ADD 19000406
RECV 19000453
SEND 19000501
ADD 19000454
RECV 19000502
SEND 19000548
ADD 19000504
RECV 19000550
SEND 19000596
ADD 19000551
RECV 19000598
SEND 19000647
ADD 19000600
RECV 19000650
SEND 19000700
ADD 19000652
RECV 19000701
SEND 19000748
ADD 19000702
RECV 19000750
SEND 19000798
ADD 19000751
RECV 19000800
SEND 19000847
ADD 19000801
RECV 19000849
SEND 19000894
ADD 19000850
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 19000897
SEND 19000951
ADD 19000899
RECV 19000952
SEND 19000999
ADD 19000954
RECV 19001002
SEND 19001047
ADD 19001004
RECV 19001049
SEND 19001095
ADD 19001051
RECV 19001097
SEND 19001144
ADD 19001100
RECV 19001147
SEND 19001193
ADD 19001149
RECV 19001195
SEND 19001241
ADD 19001197
RECV 19001243
SEND 19001290
ADD 19001244
RECV 19001292
SEND 19001339
ADD 19001293
RECV 19001341
SEND 19001387
ADD 19001342
RECV 19001390
SEND 19001442
ADD 19001392
RECV 19001444
SEND 19001500
ADD 19001450
RECV 19001503
SEND 19001556
ADD 19001505
RECV 19001558
SEND 19001613
ADD 19001560
RECV 19001616
SEND 19001673
ADD 19001618
RECV 19001675
SEND 19001730
ADD 19001678
RECV 19001732
SEND 19001778
ADD 19001734
RECV 19001779
SEND 19001827
ADD 19001782
RECV 19001829
SEND 19001876
ADD 19001831
RECV 19001878
SEND 19001924
ADD 19001880
RECV 19001925
SEND 19001973
ADD 19001927
RECV 19001976
SEND 19002021
ADD 19001978
RECV 19002023
SEND 19002069
ADD 19002025
RECV 19002071
SEND 19002115
ADD 19002073
RECV 19002117
SEND 19002165
ADD 19002119
RECV 19002167
SEND 19002215
ADD 19002169
RECV 19002217
SEND 19002266
ADD 19002219
RECV 19002267
SEND 19002317
ADD 19002269
RECV 19002320
SEND 19002368
ADD 19002322
RECV 19002370
SEND 19002420
ADD 19002372
RECV 19002421
SEND 19002471
ADD 19002424
RECV 19002473
SEND 19002522
ADD 19002475
RECV 19002523
SEND 19002572
ADD 19002525
RECV 19002575
SEND 19002622
ADD 19002577
RECV 19002623
SEND 19002672
ADD 19002625
RECV 19002675
SEND 19002723
ADD 19002677
RECV 19002725
SEND 19002773
ADD 19002727
RECV 19002775
SEND 19002823
ADD 19002777
RECV 19002825
SEND 19002874
ADD 19002827
RECV 19002876
SEND 19002927
ADD 19002878
RECV 19002929
SEND 19002977
ADD 19002931
RECV 19002980
SEND 19003029
ADD 19002983
RECV 19003031
SEND 19003080
ADD 19003033
RECV 19003082
SEND 19003131
ADD 19003084
RECV 19003133
SEND 19003180
ADD 19003135
RECV 19003181
SEND 19003226
ADD 19003183
RECV 19003228
SEND 19003277
ADD 19003230
RECV 19003278
SEND 19003325
ADD 19003281
RECV 19003327
SEND 19003373
ADD 19003329
RECV 19003375
SEND 19003420
ADD 19003377
RECV 19003422
SEND 19003468
ADD 19003425
RECV 19003470
SEND 19003517
ADD 19003472
RECV 19003519
SEND 19003565
ADD 19003521
RECV 19003567
SEND 19003611
ADD 19003569
RECV 19003613
SEND 19003660
ADD 19003615
RECV 19003662
SEND 19003710
ADD 19003664
RECV 19003712
SEND 19003758
ADD 19003714
RECV 19003760
