Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 200
RECV 40660970
ADD 40660973
RECV 40660984
ADD 40660986
RECV 40660987
ADD 40660989
RECV 40660991
ADD 40660993
RECV 40660995
ADD 40660999
RECV 40661001
ADD 40661005
RECV 40661006
ADD 40661009
RECV 40661011
ADD 40661014
RECV 40661016
ADD 40661020
RECV 40661025
ADD 40661028
RECV 40661032
ADD 40661035
RECV 40661037
ADD 40661041
RECV 40661042
ADD 40661045
RECV 40661047
ADD 40661049
RECV 40661052
ADD 40661054
RECV 40661056
ADD 40661058
RECV 40661061
ADD 40661063
RECV 40661066
ADD 40661068
RECV 40661070
ADD 40661073
RECV 40661075
ADD 40661078
RECV 40661079
ADD 40661082
RECV 40661083
ADD 40661085
RECV 40661087
ADD 40661089
RECV 40661090
ADD 40661093
RECV 40661094
ADD 40661096
RECV 40661097
ADD 40661100
RECV 40661102
ADD 40661104
RECV 40661107
ADD 40661109
RECV 40661111
ADD 40661113
RECV 40661115
ADD 40661118
RECV 40661120
ADD 40661122
RECV 40661124
ADD 40661126
RECV 40661128
ADD 40661131
RECV 40661132
ADD 40661134
RECV 40661136
ADD 40661138
RECV 40661139
ADD 40661142
RECV 40661143
ADD 40661145
RECV 40661147
ADD 40661149
RECV 40661151
ADD 40661153
RECV 40661154
ADD 40661156
RECV 40661157
ADD 40661160
RECV 40661161
ADD 40661163
RECV 40661165
ADD 40661168
RECV 40661169
ADD 40661171
RECV 40661173
ADD 40661175
RECV 40661177
ADD 40661180
RECV 40661182
ADD 40661184
RECV 40661186
ADD 40661188
RECV 40661191
ADD 40661194
RECV 40661196
ADD 40661198
RECV 40661200
ADD 40661202
RECV 40661204
ADD 40661206
RECV 40661209
ADD 40661211
RECV 40661213
ADD 40661216
RECV 40661219
ADD 40661221
RECV 40661224
ADD 40661227
RECV 40661229
ADD 40661231
RECV 40661234
ADD 40661236
RECV 40661238
ADD 40661241
RECV 40661243
ADD 40661246
RECV 40661248
ADD 40661251
RECV 40661252
ADD 40661256
RECV 40661257
ADD 40661261
RECV 40661263
ADD 40661266
RECV 40661267
ADD 40661271
RECV 40661273
ADD 40661276
RECV 40661278
ADD 40661281
RECV 40661283
ADD 40661287
RECV 40661288
ADD 40661292
RECV 40661293
ADD 40661297
