Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x352
Target size: 320x352
Retargetfactor: 0.5
Extendfactor: 0.25
Frame window size: 200
RECV 8154488
ADD 8154490
RECV 8154496
ADD 8154498
RECV 8154499
ADD 8154503
RECV 8154503
ADD 8154506
RECV 8154507
ADD 8154510
RECV 8154511
ADD 8154513
RECV 8154514
ADD 8154517
RECV 8154518
ADD 8154521
RECV 8154522
ADD 8154526
RECV 8154527
ADD 8154530
RECV 8154531
ADD 8154535
RECV 8154535
ADD 8154539
RECV 8154540
ADD 8154543
RECV 8154544
ADD 8154547
RECV 8154548
ADD 8154551
RECV 8154552
ADD 8154555
RECV 8154556
ADD 8154560
RECV 8154561
ADD 8154564
RECV 8154565
ADD 8154568
RECV 8154569
ADD 8154572
RECV 8154573
ADD 8154577
RECV 8154578
ADD 8154581
RECV 8154582
ADD 8154585
RECV 8154586
ADD 8154589
RECV 8154590
ADD 8154594
RECV 8154595
ADD 8154598
RECV 8154599
ADD 8154602
RECV 8154603
ADD 8154606
RECV 8154607
ADD 8154611
RECV 8154612
ADD 8154615
RECV 8154616
ADD 8154619
RECV 8154620
ADD 8154623
RECV 8154624
ADD 8154627
RECV 8154628
ADD 8154631
RECV 8154632
ADD 8154635
RECV 8154636
ADD 8154639
RECV 8154640
ADD 8154643
RECV 8154644
ADD 8154647
RECV 8154648
ADD 8154651
RECV 8154652
ADD 8154655
RECV 8154656
ADD 8154658
RECV 8154659
ADD 8154661
RECV 8154661
ADD 8154663
RECV 8154664
ADD 8154666
RECV 8154667
ADD 8154669
RECV 8154670
ADD 8154671
RECV 8154672
ADD 8154674
RECV 8154675
ADD 8154677
RECV 8154678
ADD 8154680
RECV 8154681
ADD 8154683
RECV 8154684
ADD 8154685
RECV 8154686
ADD 8154688
RECV 8154689
ADD 8154691
RECV 8154692
ADD 8154693
RECV 8154694
ADD 8154696
RECV 8154697
ADD 8154699
RECV 8154700
ADD 8154702
RECV 8154702
ADD 8154704
RECV 8154705
ADD 8154707
RECV 8154708
ADD 8154710
RECV 8154711
ADD 8154712
RECV 8154713
ADD 8154716
RECV 8154717
ADD 8154718
RECV 8154719
ADD 8154720
RECV 8154721
ADD 8154724
RECV 8154725
ADD 8154726
RECV 8154727
ADD 8154728
RECV 8154729
ADD 8154732
RECV 8154733
ADD 8154734
RECV 8154735
ADD 8154736
