Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 200
RECV 17482662
ADD 17482664
RECV 17482665
ADD 17482667
RECV 17482667
ADD 17482669
RECV 17482670
ADD 17482671
RECV 17482672
ADD 17482674
RECV 17482675
ADD 17482677
RECV 17482678
ADD 17482679
RECV 17482680
ADD 17482682
RECV 17482683
ADD 17482684
RECV 17482685
ADD 17482687
RECV 17482688
ADD 17482690
RECV 17482690
ADD 17482692
RECV 17482693
ADD 17482695
RECV 17482696
ADD 17482698
RECV 17482699
ADD 17482701
RECV 17482701
ADD 17482703
RECV 17482704
ADD 17482706
RECV 17482707
ADD 17482709
RECV 17482709
ADD 17482711
RECV 17482712
ADD 17482714
RECV 17482715
ADD 17482717
RECV 17482717
ADD 17482719
RECV 17482720
ADD 17482722
RECV 17482723
ADD 17482725
RECV 17482725
ADD 17482727
RECV 17482728
ADD 17482730
RECV 17482731
ADD 17482733
RECV 17482734
ADD 17482736
RECV 17482736
ADD 17482738
RECV 17482739
ADD 17482741
RECV 17482742
ADD 17482743
RECV 17482744
ADD 17482746
RECV 17482747
ADD 17482749
RECV 17482750
ADD 17482751
RECV 17482752
ADD 17482754
RECV 17482755
ADD 17482757
RECV 17482757
ADD 17482759
RECV 17482760
ADD 17482762
RECV 17482763
ADD 17482765
RECV 17482766
ADD 17482768
RECV 17482768
ADD 17482770
RECV 17482771
ADD 17482773
RECV 17482774
ADD 17482776
RECV 17482777
ADD 17482779
RECV 17482779
ADD 17482781
RECV 17482782
ADD 17482784
RECV 17482785
ADD 17482787
RECV 17482787
ADD 17482789
RECV 17482790
ADD 17482792
RECV 17482793
ADD 17482795
RECV 17482795
ADD 17482797
RECV 17482798
ADD 17482800
RECV 17482801
ADD 17482802
RECV 17482803
ADD 17482805
RECV 17482806
ADD 17482808
RECV 17482809
ADD 17482810
RECV 17482811
ADD 17482813
RECV 17482814
ADD 17482816
RECV 17482816
ADD 17482818
RECV 17482819
ADD 17482821
RECV 17482822
ADD 17482824
RECV 17482824
ADD 17482826
RECV 17482827
ADD 17482829
RECV 17482830
ADD 17482832
RECV 17482833
ADD 17482835
RECV 17482836
ADD 17482838
RECV 17482838
ADD 17482840
RECV 17482841
ADD 17482843
RECV 17482844
ADD 17482845
RECV 17482847
ADD 17482849
RECV 17482849
ADD 17482851
RECV 17482852
ADD 17482854
RECV 17482855
ADD 17482856
RECV 17482857
ADD 17482859
RECV 17482860
ADD 17482862
RECV 17482863
ADD 17482865
RECV 17482866
ADD 17482867
RECV 17482868
ADD 17482870
RECV 17482871
ADD 17482873
RECV 17482873
ADD 17482875
RECV 17482876
ADD 17482878
RECV 17482879
ADD 17482881
RECV 17482881
ADD 17482883
RECV 17482884
ADD 17482886
RECV 17482886
ADD 17482888
RECV 17482889
ADD 17482891
RECV 17482892
ADD 17482894
RECV 17482894
ADD 17482896
RECV 17482898
ADD 17482901
RECV 17482901
ADD 17482903
RECV 17482904
ADD 17482907
RECV 17482907
ADD 17482909
RECV 17482910
ADD 17482912
RECV 17482913
ADD 17482915
RECV 17482915
ADD 17482917
RECV 17482918
ADD 17482920
RECV 17482921
ADD 17482922
RECV 17482924
ADD 17482927
RECV 17482929
ADD 17482931
RECV 17482933
ADD 17482935
RECV 17482936
ADD 17482938
RECV 17482940
ADD 17482942
RECV 17482943
ADD 17482944
RECV 17482945
ADD 17482946
RECV 17482947
ADD 17482948
RECV 17482949
ADD 17482950
RECV 17482951
ADD 17482953
RECV 17482953
ADD 17482955
RECV 17482955
ADD 17482957
RECV 17482957
ADD 17482959
RECV 17482960
ADD 17482961
RECV 17482962
ADD 17482963
RECV 17482964
ADD 17482965
RECV 17482966
ADD 17482967
RECV 17482968
ADD 17482969
RECV 17482970
ADD 17482971
RECV 17482973
ADD 17482974
RECV 17482975
ADD 17482976
RECV 17482977
ADD 17482978
RECV 17482979
ADD 17482980
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 17482982
ADD 17482984
RECV 17482987
ADD 17482989
RECV 17482991
ADD 17482993
RECV 17482996
ADD 17482997
RECV 17483000
ADD 17483002
RECV 17483004
ADD 17483006
RECV 17483007
ADD 17483009
RECV 17483010
ADD 17483012
RECV 17483013
ADD 17483015
RECV 17483016
ADD 17483018
RECV 17483019
ADD 17483021
RECV 17483022
ADD 17483025
RECV 17483025
ADD 17483027
RECV 17483028
ADD 17483030
RECV 17483032
ADD 17483034
RECV 17483036
ADD 17483038
RECV 17483041
ADD 17483043
RECV 17483044
ADD 17483046
RECV 17483048
ADD 17483050
RECV 17483051
ADD 17483054
RECV 17483055
ADD 17483057
RECV 17483060
ADD 17483062
RECV 17483064
ADD 17483066
RECV 17483068
ADD 17483070
RECV 17483071
ADD 17483074
RECV 17483075
ADD 17483077
RECV 17483078
ADD 17483081
RECV 17483082
ADD 17483084
RECV 17483085
ADD 17483088
RECV 17483089
ADD 17483091
RECV 17483093
ADD 17483095
RECV 17483097
ADD 17483099
RECV 17483101
ADD 17483104
RECV 17483106
ADD 17483108
RECV 17483110
ADD 17483112
RECV 17483113
ADD 17483116
RECV 17483117
ADD 17483119
RECV 17483121
ADD 17483123
RECV 17483124
ADD 17483127
RECV 17483128
ADD 17483130
RECV 17483131
ADD 17483133
RECV 17483134
ADD 17483137
RECV 17483138
ADD 17483140
RECV 17483141
ADD 17483143
RECV 17483146
ADD 17483148
RECV 17483149
ADD 17483151
RECV 17483152
ADD 17483154
RECV 17483155
ADD 17483156
RECV 17483157
ADD 17483159
RECV 17483160
ADD 17483161
RECV 17483163
ADD 17483165
RECV 17483168
ADD 17483170
RECV 17483172
ADD 17483174
RECV 17483175
ADD 17483177
RECV 17483179
ADD 17483181
RECV 17483182
ADD 17483184
RECV 17483185
ADD 17483187
RECV 17483194
ADD 17483196
RECV 17483198
ADD 17483200
RECV 17483201
ADD 17483203
RECV 17483204
ADD 17483207
RECV 17483208
ADD 17483210
RECV 17483212
ADD 17483214
RECV 17483216
ADD 17483217
RECV 17483219
ADD 17483221
RECV 17483223
ADD 17483225
RECV 17483227
ADD 17483229
RECV 17483231
ADD 17483233
RECV 17483235
ADD 17483237
RECV 17483239
ADD 17483241
RECV 17483242
ADD 17483244
RECV 17483244
ADD 17483246
RECV 17483247
ADD 17483248
RECV 17483250
ADD 17483252
RECV 17483256
ADD 17483257
RECV 17483258
ADD 17483261
RECV 17483262
ADD 17483264
RECV 17483266
ADD 17483267
RECV 17483269
ADD 17483270
RECV 17483271
ADD 17483272
RECV 17483273
ADD 17483275
RECV 17483278
ADD 17483279
RECV 17483280
ADD 17483281
RECV 17483282
ADD 17483283
RECV 17483284
SEND 17483297
ADD 17483285
RECV 17483300
SEND 17483319
ADD 17483302
RECV 17483321
SEND 17483337
ADD 17483322
RECV 17483339
SEND 17483355
ADD 17483340
RECV 17483358
SEND 17483375
ADD 17483360
RECV 17483377
SEND 17483393
ADD 17483380
RECV 17483395
SEND 17483413
