Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 200
RECV 22645147
ADD 22645150
RECV 22645151
ADD 22645153
RECV 22645155
ADD 22645157
RECV 22645158
ADD 22645160
RECV 22645161
ADD 22645163
RECV 22645163
ADD 22645166
RECV 22645167
ADD 22645170
RECV 22645171
ADD 22645173
RECV 22645175
ADD 22645177
RECV 22645178
ADD 22645180
RECV 22645181
ADD 22645183
RECV 22645184
ADD 22645186
RECV 22645187
ADD 22645189
RECV 22645190
ADD 22645191
RECV 22645192
ADD 22645193
RECV 22645194
ADD 22645195
RECV 22645197
ADD 22645198
RECV 22645199
ADD 22645201
RECV 22645201
ADD 22645204
RECV 22645205
ADD 22645206
RECV 22645207
ADD 22645208
RECV 22645209
ADD 22645211
RECV 22645212
ADD 22645213
RECV 22645214
ADD 22645215
RECV 22645216
ADD 22645218
RECV 22645218
ADD 22645220
RECV 22645221
ADD 22645222
RECV 22645223
ADD 22645224
RECV 22645225
ADD 22645227
RECV 22645227
ADD 22645229
RECV 22645229
ADD 22645231
RECV 22645231
ADD 22645233
RECV 22645234
ADD 22645235
RECV 22645236
ADD 22645238
RECV 22645239
ADD 22645241
RECV 22645241
ADD 22645243
RECV 22645244
ADD 22645246
RECV 22645247
ADD 22645249
RECV 22645250
ADD 22645252
RECV 22645252
ADD 22645254
RECV 22645255
ADD 22645257
RECV 22645258
ADD 22645260
RECV 22645261
ADD 22645263
RECV 22645263
ADD 22645265
RECV 22645266
ADD 22645268
RECV 22645269
ADD 22645271
RECV 22645272
ADD 22645274
RECV 22645274
ADD 22645276
RECV 22645277
ADD 22645279
RECV 22645280
ADD 22645282
RECV 22645283
ADD 22645285
RECV 22645286
ADD 22645288
RECV 22645289
ADD 22645291
RECV 22645292
ADD 22645294
RECV 22645295
ADD 22645297
RECV 22645298
ADD 22645300
RECV 22645300
ADD 22645302
RECV 22645304
ADD 22645306
RECV 22645306
ADD 22645308
RECV 22645309
ADD 22645311
RECV 22645312
ADD 22645313
RECV 22645314
ADD 22645316
RECV 22645317
ADD 22645319
RECV 22645320
ADD 22645321
RECV 22645322
ADD 22645324
RECV 22645325
ADD 22645327
RECV 22645328
ADD 22645330
RECV 22645331
ADD 22645333
RECV 22645334
ADD 22645336
RECV 22645337
ADD 22645338
RECV 22645339
ADD 22645341
RECV 22645342
ADD 22645343
RECV 22645344
ADD 22645346
RECV 22645347
ADD 22645348
RECV 22645350
ADD 22645351
RECV 22645352
ADD 22645354
RECV 22645355
ADD 22645356
RECV 22645357
ADD 22645358
RECV 22645359
ADD 22645361
RECV 22645362
ADD 22645363
RECV 22645365
ADD 22645366
RECV 22645367
ADD 22645368
RECV 22645370
ADD 22645371
RECV 22645373
ADD 22645375
RECV 22645376
ADD 22645378
RECV 22645379
ADD 22645381
RECV 22645382
ADD 22645384
RECV 22645385
ADD 22645386
RECV 22645387
ADD 22645389
RECV 22645390
ADD 22645391
RECV 22645392
ADD 22645394
RECV 22645395
ADD 22645396
RECV 22645397
ADD 22645399
RECV 22645400
ADD 22645401
RECV 22645402
ADD 22645403
RECV 22645404
ADD 22645406
RECV 22645407
ADD 22645409
RECV 22645410
ADD 22645411
RECV 22645413
ADD 22645414
RECV 22645416
ADD 22645417
RECV 22645419
ADD 22645420
RECV 22645422
ADD 22645423
RECV 22645425
ADD 22645426
RECV 22645428
ADD 22645430
RECV 22645435
ADD 22645437
RECV 22645438
ADD 22645439
RECV 22645440
ADD 22645441
RECV 22645443
ADD 22645444
RECV 22645445
ADD 22645446
RECV 22645447
ADD 22645449
RECV 22645450
ADD 22645451
RECV 22645452
ADD 22645453
RECV 22645455
ADD 22645456
RECV 22645457
ADD 22645458
RECV 22645459
ADD 22645461
RECV 22645462
ADD 22645463
RECV 22645464
ADD 22645465
RECV 22645466
ADD 22645467
RECV 22645468
ADD 22645470
RECV 22645470
ADD 22645472
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 22645474
ADD 22645475
RECV 22645476
ADD 22645477
RECV 22645478
ADD 22645480
RECV 22645482
ADD 22645485
RECV 22645490
ADD 22645491
RECV 22645492
ADD 22645494
RECV 22645495
ADD 22645497
RECV 22645499
ADD 22645501
RECV 22645503
ADD 22645505
RECV 22645508
ADD 22645510
RECV 22645511
ADD 22645514
RECV 22645515
ADD 22645517
RECV 22645518
ADD 22645520
RECV 22645521
ADD 22645522
RECV 22645523
ADD 22645530
RECV 22645532
ADD 22645533
RECV 22645535
ADD 22645536
RECV 22645537
ADD 22645539
RECV 22645548
ADD 22645549
RECV 22645550
ADD 22645552
RECV 22645553
ADD 22645554
RECV 22645556
ADD 22645557
RECV 22645558
ADD 22645560
RECV 22645561
ADD 22645564
RECV 22645565
ADD 22645572
RECV 22645573
ADD 22645575
RECV 22645576
ADD 22645578
RECV 22645580
ADD 22645582
RECV 22645584
ADD 22645586
RECV 22645590
ADD 22645592
RECV 22645593
ADD 22645594
RECV 22645596
ADD 22645597
RECV 22645598
ADD 22645604
RECV 22645605
ADD 22645608
RECV 22645609
ADD 22645614
RECV 22645616
ADD 22645620
RECV 22645621
ADD 22645623
RECV 22645624
ADD 22645626
RECV 22645628
ADD 22645630
RECV 22645631
ADD 22645633
RECV 22645634
ADD 22645636
RECV 22645639
ADD 22645641
RECV 22645643
ADD 22645644
RECV 22645646
ADD 22645647
RECV 22645649
ADD 22645656
RECV 22645657
ADD 22645659
RECV 22645660
ADD 22645662
RECV 22645663
ADD 22645665
RECV 22645666
ADD 22645668
RECV 22645670
ADD 22645672
RECV 22645674
ADD 22645676
RECV 22645678
ADD 22645680
RECV 22645681
ADD 22645683
RECV 22645684
ADD 22645686
RECV 22645687
ADD 22645688
RECV 22645689
ADD 22645691
RECV 22645692
ADD 22645694
RECV 22645696
ADD 22645698
RECV 22645699
ADD 22645702
RECV 22645703
ADD 22645705
RECV 22645707
ADD 22645709
RECV 22645710
ADD 22645713
RECV 22645714
ADD 22645718
RECV 22645719
ADD 22645720
RECV 22645722
ADD 22645723
RECV 22645724
ADD 22645726
RECV 22645728
ADD 22645734
RECV 22645736
ADD 22645737
RECV 22645739
ADD 22645740
RECV 22645742
ADD 22645744
RECV 22645745
ADD 22645747
RECV 22645748
ADD 22645750
RECV 22645752
ADD 22645753
RECV 22645755
ADD 22645757
RECV 22645760
ADD 22645762
RECV 22645763
ADD 22645764
RECV 22645766
ADD 22645767
RECV 22645768
ADD 22645769
RECV 22645770
ADD 22645771
RECV 22645773
ADD 22645774
RECV 22645776
ADD 22645777
RECV 22645782
ADD 22645784
RECV 22645785
ADD 22645787
RECV 22645788
ADD 22645790
RECV 22645792
SEND 22645801
ADD 22645797
RECV 22645805
SEND 22645820
ADD 22645810
RECV 22645824
SEND 22645845
ADD 22645826
RECV 22645847
SEND 22645865
ADD 22645849
RECV 22645868
SEND 22645883
ADD 22645870
RECV 22645885
SEND 22645902
ADD 22645887
RECV 22645904
SEND 22645921
