Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x352
Target size: 544x352
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 200
RECV 5337678
ADD 5337679
RECV 5337685
ADD 5337687
RECV 5337688
ADD 5337690
RECV 5337691
ADD 5337693
RECV 5337694
ADD 5337697
RECV 5337698
ADD 5337700
RECV 5337701
ADD 5337703
RECV 5337704
ADD 5337708
RECV 5337709
ADD 5337712
RECV 5337713
ADD 5337716
RECV 5337717
ADD 5337720
RECV 5337721
ADD 5337725
RECV 5337726
ADD 5337729
RECV 5337730
ADD 5337733
RECV 5337734
ADD 5337737
RECV 5337738
ADD 5337742
RECV 5337742
ADD 5337746
RECV 5337747
ADD 5337750
RECV 5337751
ADD 5337754
RECV 5337755
ADD 5337758
RECV 5337759
ADD 5337762
RECV 5337763
ADD 5337766
RECV 5337767
ADD 5337769
RECV 5337770
ADD 5337773
RECV 5337774
ADD 5337777
RECV 5337778
ADD 5337782
RECV 5337783
ADD 5337786
RECV 5337787
ADD 5337790
RECV 5337791
ADD 5337793
RECV 5337794
ADD 5337797
RECV 5337798
ADD 5337801
RECV 5337802
ADD 5337805
RECV 5337806
ADD 5337808
RECV 5337809
ADD 5337811
RECV 5337812
ADD 5337816
RECV 5337817
ADD 5337820
RECV 5337821
ADD 5337824
RECV 5337825
ADD 5337828
RECV 5337829
ADD 5337832
RECV 5337833
ADD 5337836
RECV 5337837
ADD 5337840
RECV 5337841
ADD 5337844
RECV 5337845
ADD 5337849
RECV 5337849
ADD 5337853
RECV 5337854
ADD 5337857
RECV 5337858
ADD 5337861
RECV 5337862
ADD 5337865
RECV 5337866
ADD 5337869
RECV 5337870
ADD 5337873
RECV 5337874
ADD 5337877
RECV 5337878
ADD 5337880
RECV 5337881
ADD 5337883
RECV 5337884
ADD 5337887
RECV 5337888
ADD 5337890
RECV 5337891
ADD 5337893
RECV 5337894
ADD 5337898
RECV 5337898
ADD 5337901
RECV 5337901
ADD 5337904
RECV 5337905
ADD 5337908
RECV 5337909
ADD 5337911
RECV 5337912
ADD 5337915
RECV 5337917
ADD 5337920
RECV 5337921
ADD 5337923
RECV 5337924
ADD 5337927
RECV 5337928
ADD 5337931
RECV 5337932
ADD 5337934
RECV 5337935
ADD 5337937
RECV 5337938
ADD 5337941
RECV 5337942
ADD 5337944
RECV 5337945
ADD 5337947
