Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 100
RECV 28676352
ADD 28676354
RECV 28676355
ADD 28676357
RECV 28676358
ADD 28676360
RECV 28676361
ADD 28676363
RECV 28676364
ADD 28676366
RECV 28676367
ADD 28676368
RECV 28676369
ADD 28676370
RECV 28676371
ADD 28676373
RECV 28676374
ADD 28676376
RECV 28676377
ADD 28676379
RECV 28676380
ADD 28676381
RECV 28676382
ADD 28676383
RECV 28676384
ADD 28676385
RECV 28676386
ADD 28676387
RECV 28676388
ADD 28676389
RECV 28676390
ADD 28676392
RECV 28676393
ADD 28676394
RECV 28676395
ADD 28676396
RECV 28676397
ADD 28676398
RECV 28676399
ADD 28676400
RECV 28676401
ADD 28676403
RECV 28676403
ADD 28676405
RECV 28676405
ADD 28676407
RECV 28676408
ADD 28676410
RECV 28676410
ADD 28676412
RECV 28676413
ADD 28676414
RECV 28676415
ADD 28676416
RECV 28676417
ADD 28676418
RECV 28676419
ADD 28676420
RECV 28676421
ADD 28676423
RECV 28676424
ADD 28676425
RECV 28676426
ADD 28676428
RECV 28676429
ADD 28676430
RECV 28676431
ADD 28676433
RECV 28676433
ADD 28676435
RECV 28676435
ADD 28676437
RECV 28676438
ADD 28676439
RECV 28676441
ADD 28676442
RECV 28676443
ADD 28676445
RECV 28676446
ADD 28676448
RECV 28676449
ADD 28676451
RECV 28676452
ADD 28676454
RECV 28676455
ADD 28676457
RECV 28676458
ADD 28676460
RECV 28676461
ADD 28676464
RECV 28676466
ADD 28676468
RECV 28676470
ADD 28676473
RECV 28676474
ADD 28676476
RECV 28676479
ADD 28676481
RECV 28676483
ADD 28676486
RECV 28676487
ADD 28676490
RECV 28676491
ADD 28676495
RECV 28676496
ADD 28676499
RECV 28676500
ADD 28676502
RECV 28676504
ADD 28676506
RECV 28676509
ADD 28676511
RECV 28676513
ADD 28676515
RECV 28676517
ADD 28676520
RECV 28676522
ADD 28676524
RECV 28676526
ADD 28676528
RECV 28676530
ADD 28676532
RECV 28676534
ADD 28676536
RECV 28676539
ADD 28676541
RECV 28676542
ADD 28676545
RECV 28676546
ADD 28676548
RECV 28676549
ADD 28676550
RECV 28676552
ADD 28676554
RECV 28676556
ADD 28676558
RECV 28676559
ADD 28676562
RECV 28676564
ADD 28676566
RECV 28676568
ADD 28676570
RECV 28676572
ADD 28676574
RECV 28676576
ADD 28676578
RECV 28676580
ADD 28676582
RECV 28676583
ADD 28676585
RECV 28676587
ADD 28676589
RECV 28676591
ADD 28676593
RECV 28676595
ADD 28676597
RECV 28676599
ADD 28676601
RECV 28676603
ADD 28676605
RECV 28676606
ADD 28676608
RECV 28676609
ADD 28676610
RECV 28676611
ADD 28676613
RECV 28676613
ADD 28676615
RECV 28676615
ADD 28676617
RECV 28676617
ADD 28676619
RECV 28676619
ADD 28676621
RECV 28676622
ADD 28676623
RECV 28676624
ADD 28676626
RECV 28676626
ADD 28676628
RECV 28676629
ADD 28676631
RECV 28676632
ADD 28676634
RECV 28676635
ADD 28676637
RECV 28676637
ADD 28676639
RECV 28676640
ADD 28676642
RECV 28676643
ADD 28676645
RECV 28676646
ADD 28676648
RECV 28676648
ADD 28676650
RECV 28676651
ADD 28676653
RECV 28676654
ADD 28676656
RECV 28676656
ADD 28676658
RECV 28676661
ADD 28676662
RECV 28676663
ADD 28676664
RECV 28676665
ADD 28676667
RECV 28676667
SEND 28676681
ADD 28676669
RECV 28676683
SEND 28676701
ADD 28676686
RECV 28676703
SEND 28676720
ADD 28676704
RECV 28676721
SEND 28676739
ADD 28676723
RECV 28676741
SEND 28676758
ADD 28676742
RECV 28676759
SEND 28676777
ADD 28676761
RECV 28676779
SEND 28676796
ADD 28676780
RECV 28676799
SEND 28676814
ADD 28676800
RECV 28676815
SEND 28676831
ADD 28676817
RECV 28676833
SEND 28676848
ADD 28676834
RECV 28676850
SEND 28676866
ADD 28676851
RECV 28676867
SEND 28676884
ADD 28676868
RECV 28676885
SEND 28676901
ADD 28676886
RECV 28676903
SEND 28676919
ADD 28676904
RECV 28676920
SEND 28676936
ADD 28676922
RECV 28676938
SEND 28676954
ADD 28676939
SEND 28676971
SEND 28676988
SEND 28677005
SEND 28677022
SEND 28677039
SEND 28677057
SEND 28677075
SEND 28677093
SEND 28677109
SEND 28677127
SEND 28677144
SEND 28677161
SEND 28677178
SEND 28677194
SEND 28677212
SEND 28677230
SEND 28677247
SEND 28677264
SEND 28677281
SEND 28677298
SEND 28677315
SEND 28677332
SEND 28677349
SEND 28677367
SEND 28677385
SEND 28677402
SEND 28677419
SEND 28677436
SEND 28677454
SEND 28677477
SEND 28677495
SEND 28677513
SEND 28677530
SEND 28677548
Capability changes: 640x360 to 640x360
Capability changes: 640x360 to 640x360
RECV 28677567
ADD 28677570
RECV 28677572
SEND 28677575
ADD 28677574
RECV 28677576
ADD 28677578
RECV 28677579
ADD 28677581
RECV 28677587
ADD 28677589
SEND 28677593
RECV 28677596
ADD 28677599
RECV 28677600
ADD 28677603
RECV 28677604
SEND 28677610
ADD 28677609
RECV 28677617
ADD 28677619
RECV 28677623
ADD 28677625
RECV 28677625
ADD 28677627
SEND 28677629
RECV 28677645
SEND 28677648
ADD 28677647
RECV 28677648
ADD 28677651
RECV 28677653
ADD 28677655
RECV 28677660
ADD 28677663
SEND 28677665
RECV 28677669
ADD 28677675
RECV 28677676
ADD 28677678
RECV 28677679
SEND 28677683
ADD 28677681
RECV 28677688
ADD 28677690
RECV 28677693
ADD 28677695
RECV 28677696
ADD 28677698
SEND 28677701
RECV 28677702
ADD 28677704
RECV 28677708
ADD 28677710
RECV 28677712
ADD 28677714
RECV 28677715
ADD 28677717
SEND 28677720
RECV 28677729
ADD 28677731
RECV 28677732
ADD 28677734
RECV 28677736
SEND 28677738
ADD 28677738
RECV 28677739
ADD 28677741
RECV 28677746
ADD 28677748
RECV 28677749
ADD 28677751
RECV 28677753
SEND 28677756
ADD 28677755
RECV 28677756
ADD 28677759
RECV 28677767
SEND 28677773
ADD 28677769
RECV 28677775
ADD 28677778
RECV 28677779
ADD 28677781
SEND 28677789
SEND 28677806
SEND 28677824
RECV 28677825
ADD 28677827
RECV 28677829
ADD 28677831
RECV 28677833
ADD 28677835
RECV 28677836
SEND 28677842
ADD 28677841
RECV 28677842
ADD 28677844
RECV 28677845
ADD 28677846
RECV 28677847
ADD 28677849
RECV 28677850
ADD 28677852
RECV 28677853
ADD 28677854
RECV 28677856
ADD 28677857
RECV 28677858
SEND 28677861
ADD 28677860
RECV 28677862
ADD 28677863
RECV 28677865
ADD 28677866
RECV 28677868
ADD 28677871
RECV 28677873
ADD 28677875
SEND 28677880
RECV 28677888
ADD 28677890
RECV 28677891
SEND 28677898
ADD 28677893
RECV 28677901
SEND 28677916
ADD 28677902
RECV 28677918
SEND 28677932
ADD 28677920
RECV 28677935
SEND 28677952
ADD 28677936
RECV 28677952
ADD 28677955
RECV 28677971
SEND 28677973
