Now playing.
Running...
Capability changes: 0x0 to 640x360
Capability changes: 640x360 to 640x360
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 544x360
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 50
RECV 28386166
ADD 28386168
RECV 28386170
ADD 28386172
RECV 28386174
ADD 28386176
RECV 28386178
ADD 28386180
RECV 28386182
ADD 28386184
RECV 28386186
ADD 28386188
RECV 28386190
ADD 28386192
RECV 28386193
ADD 28386195
RECV 28386196
ADD 28386198
RECV 28386199
ADD 28386201
RECV 28386203
ADD 28386205
RECV 28386206
ADD 28386208
RECV 28386209
ADD 28386211
RECV 28386212
ADD 28386214
RECV 28386216
ADD 28386218
RECV 28386219
ADD 28386221
RECV 28386222
ADD 28386224
RECV 28386225
ADD 28386227
RECV 28386228
ADD 28386231
RECV 28386232
ADD 28386233
RECV 28386235
ADD 28386237
RECV 28386238
ADD 28386240
RECV 28386241
ADD 28386243
RECV 28386245
ADD 28386247
RECV 28386248
ADD 28386250
RECV 28386251
ADD 28386253
RECV 28386254
ADD 28386256
RECV 28386258
ADD 28386260
RECV 28386261
ADD 28386263
RECV 28386264
ADD 28386266
RECV 28386267
ADD 28386269
RECV 28386270
ADD 28386272
RECV 28386273
ADD 28386275
RECV 28386275
ADD 28386277
RECV 28386278
ADD 28386281
RECV 28386282
ADD 28386284
RECV 28386285
ADD 28386287
RECV 28386288
ADD 28386290
RECV 28386291
ADD 28386293
RECV 28386293
ADD 28386295
RECV 28386296
ADD 28386298
RECV 28386299
ADD 28386301
RECV 28386301
ADD 28386303
RECV 28386304
ADD 28386305
RECV 28386306
ADD 28386308
RECV 28386309
ADD 28386310
RECV 28386312
ADD 28386313
RECV 28386314
ADD 28386315
RECV 28386316
ADD 28386318
RECV 28386319
ADD 28386320
RECV 28386321
ADD 28386323
RECV 28386326
ADD 28386328
RECV 28386328
ADD 28386331
RECV 28386331
ADD 28386333
RECV 28386334
SEND 28386346
ADD 28386336
RECV 28386348
SEND 28386367
ADD 28386351
RECV 28386369
SEND 28386385
ADD 28386371
RECV 28386387
SEND 28386403
ADD 28386388
RECV 28386405
SEND 28386422
ADD 28386406
RECV 28386424
SEND 28386440
ADD 28386426
RECV 28386442
SEND 28386456
ADD 28386444
RECV 28386458
SEND 28386473
ADD 28386460
RECV 28386479
SEND 28386489
ADD 28386480
RECV 28386491
SEND 28386506
ADD 28386493
RECV 28386508
SEND 28386523
ADD 28386510
RECV 28386525
SEND 28386544
ADD 28386526
RECV 28386547
SEND 28386561
ADD 28386548
RECV 28386563
SEND 28386578
ADD 28386564
RECV 28386580
SEND 28386596
ADD 28386581
RECV 28386597
SEND 28386613
ADD 28386599
RECV 28386615
SEND 28386629
ADD 28386616
RECV 28386631
SEND 28386647
ADD 28386633
RECV 28386649
SEND 28386663
ADD 28386651
RECV 28386665
SEND 28386680
ADD 28386666
RECV 28386682
SEND 28386696
ADD 28386683
RECV 28386699
SEND 28386717
ADD 28386700
RECV 28386719
SEND 28386733
ADD 28386720
RECV 28386734
SEND 28386750
ADD 28386736
RECV 28386751
SEND 28386767
ADD 28386753
RECV 28386768
SEND 28386785
ADD 28386769
RECV 28386786
SEND 28386801
ADD 28386788
RECV 28386803
SEND 28386819
ADD 28386804
RECV 28386821
SEND 28386835
ADD 28386822
RECV 28386838
SEND 28386854
ADD 28386839
RECV 28386856
SEND 28386870
ADD 28386857
RECV 28386872
SEND 28386888
ADD 28386873
RECV 28386890
SEND 28386904
ADD 28386891
RECV 28386907
SEND 28386923
ADD 28386908
RECV 28386925
SEND 28386940
ADD 28386926
RECV 28386942
SEND 28386956
ADD 28386943
RECV 28386958
SEND 28386973
ADD 28386960
RECV 28386975
SEND 28386992
ADD 28386977
RECV 28386994
SEND 28387009
ADD 28386995
RECV 28387016
SEND 28387032
ADD 28387017
RECV 28387033
SEND 28387050
ADD 28387035
RECV 28387052
SEND 28387068
ADD 28387053
RECV 28387070
SEND 28387085
ADD 28387072
RECV 28387087
SEND 28387102
ADD 28387089
RECV 28387104
SEND 28387119
ADD 28387105
RECV 28387121
SEND 28387136
ADD 28387122
RECV 28387140
SEND 28387154
SEND 28387170
SEND 28387187
SEND 28387204
ADD 28387141
RECV 28387264
ADD 28387265
RECV 28387267
ADD 28387268
RECV 28387269
ADD 28387270
RECV 28387271
SEND 28387282
ADD 28387272
RECV 28387283
SEND 28387300
ADD 28387285
RECV 28387302
SEND 28387317
ADD 28387304
RECV 28387319
SEND 28387334
ADD 28387321
RECV 28387336
SEND 28387350
ADD 28387338
RECV 28387352
SEND 28387368
ADD 28387354
RECV 28387370
SEND 28387385
ADD 28387372
RECV 28387387
SEND 28387402
ADD 28387389
RECV 28387404
SEND 28387418
ADD 28387406
RECV 28387420
SEND 28387435
ADD 28387422
RECV 28387437
SEND 28387452
ADD 28387439
RECV 28387454
SEND 28387470
ADD 28387456
RECV 28387471
SEND 28387486
ADD 28387473
RECV 28387488
SEND 28387503
ADD 28387490
RECV 28387505
SEND 28387520
ADD 28387507
RECV 28387522
SEND 28387537
ADD 28387524
RECV 28387540
SEND 28387554
ADD 28387542
RECV 28387556
SEND 28387572
ADD 28387557
RECV 28387574
SEND 28387589
ADD 28387575
RECV 28387591
SEND 28387608
ADD 28387593
RECV 28387610
SEND 28387625
ADD 28387612
RECV 28387627
SEND 28387643
ADD 28387628
RECV 28387644
SEND 28387660
ADD 28387645
RECV 28387661
SEND 28387676
ADD 28387663
RECV 28387678
SEND 28387694
ADD 28387679
RECV 28387695
SEND 28387711
ADD 28387696
RECV 28387713
SEND 28387728
ADD 28387714
RECV 28387730
SEND 28387745
ADD 28387731
RECV 28387746
SEND 28387762
ADD 28387748
RECV 28387763
SEND 28387779
ADD 28387765
RECV 28387781
SEND 28387796
ADD 28387782
RECV 28387797
SEND 28387815
ADD 28387799
RECV 28387816
SEND 28387831
ADD 28387818
RECV 28387833
SEND 28387849
ADD 28387835
RECV 28387851
SEND 28387865
ADD 28387852
RECV 28387866
SEND 28387882
ADD 28387868
RECV 28387885
SEND 28387900
ADD 28387887
RECV 28387902
SEND 28387917
ADD 28387904
RECV 28387919
SEND 28387933
ADD 28387920
RECV 28387936
SEND 28387950
ADD 28387937
RECV 28387953
SEND 28387968
ADD 28387955
RECV 28387970
SEND 28387984
ADD 28387972
RECV 28387987
ADD 28387988
RECV 28388003
SEND 28388004
SEND 28388020
ADD 28388006
RECV 28388023
SEND 28388037
ADD 28388025
RECV 28388039
SEND 28388055
ADD 28388041
RECV 28388057
SEND 28388071
SEND 28388088
SEND 28388105
SEND 28388121
ADD 28388058
RECV 28388183
ADD 28388184
RECV 28388185
ADD 28388187
RECV 28388188
ADD 28388189
RECV 28388190
SEND 28388202
ADD 28388191
RECV 28388203
SEND 28388219
ADD 28388205
RECV 28388221
SEND 28388236
ADD 28388223
RECV 28388237
SEND 28388253
ADD 28388239
RECV 28388255
SEND 28388270
ADD 28388257
RECV 28388272
SEND 28388287
ADD 28388273
RECV 28388289
SEND 28388304
ADD 28388290
RECV 28388306
SEND 28388321
ADD 28388307
