Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x352
Target size: 544x352
Retargetfactor: 0.85
Extendfactor: 0.25
Frame window size: 100
RECV 5046941
ADD 5046944
RECV 5046952
ADD 5046955
RECV 5046957
ADD 5046961
RECV 5046962
ADD 5046965
RECV 5046966
ADD 5046969
RECV 5046971
ADD 5046973
RECV 5046975
ADD 5046979
RECV 5046980
ADD 5046984
RECV 5046986
ADD 5046989
RECV 5046991
ADD 5046994
RECV 5046996
ADD 5046999
RECV 5047000
ADD 5047004
RECV 5047005
ADD 5047008
RECV 5047009
ADD 5047012
RECV 5047013
ADD 5047016
RECV 5047018
ADD 5047021
RECV 5047023
ADD 5047026
RECV 5047027
ADD 5047030
RECV 5047031
ADD 5047034
RECV 5047035
ADD 5047039
RECV 5047040
ADD 5047043
RECV 5047044
ADD 5047047
RECV 5047048
ADD 5047052
RECV 5047053
ADD 5047056
RECV 5047057
ADD 5047060
RECV 5047061
ADD 5047064
RECV 5047065
ADD 5047068
RECV 5047069
ADD 5047072
RECV 5047073
ADD 5047077
RECV 5047078
ADD 5047081
RECV 5047082
ADD 5047085
RECV 5047086
ADD 5047089
RECV 5047090
ADD 5047092
RECV 5047093
ADD 5047096
RECV 5047097
ADD 5047100
RECV 5047101
ADD 5047104
RECV 5047105
ADD 5047109
RECV 5047110
ADD 5047113
RECV 5047114
ADD 5047117
RECV 5047118
ADD 5047121
RECV 5047122
ADD 5047125
RECV 5047126
ADD 5047129
RECV 5047130
ADD 5047133
RECV 5047134
ADD 5047137
RECV 5047138
ADD 5047142
RECV 5047143
ADD 5047146
RECV 5047147
ADD 5047150
RECV 5047151
ADD 5047154
RECV 5047155
ADD 5047158
RECV 5047159
ADD 5047162
RECV 5047163
ADD 5047165
RECV 5047166
ADD 5047169
RECV 5047170
ADD 5047173
RECV 5047174
ADD 5047176
RECV 5047177
ADD 5047179
RECV 5047181
ADD 5047183
RECV 5047184
ADD 5047186
RECV 5047187
ADD 5047189
RECV 5047191
ADD 5047194
RECV 5047194
ADD 5047196
RECV 5047197
ADD 5047199
RECV 5047201
ADD 5047204
RECV 5047204
ADD 5047206
RECV 5047207
ADD 5047209
RECV 5047211
ADD 5047214
RECV 5047214
ADD 5047216
RECV 5047217
ADD 5047219
RECV 5047220
ADD 5047223
RECV 5047224
ADD 5047226
RECV 5047227
ADD 5047230
