Now playing.
Running...
Initializing: New segment
----- Video properties. -----
Input size: 640x360
Target size: 480x360
Retargetfactor: 0.75
Extendfactor: 0.25
Frame window size: 200
RECV 41500786
ADD 41500789
RECV 41500793
ADD 41500796
RECV 41500798
ADD 41500801
RECV 41500802
ADD 41500805
RECV 41500807
ADD 41500809
RECV 41500811
ADD 41500813
RECV 41500815
ADD 41500818
RECV 41500819
ADD 41500822
RECV 41500823
ADD 41500826
RECV 41500828
ADD 41500832
RECV 41500833
ADD 41500837
RECV 41500838
ADD 41500841
RECV 41500842
ADD 41500845
RECV 41500847
ADD 41500850
RECV 41500852
ADD 41500855
RECV 41500856
ADD 41500859
RECV 41500860
ADD 41500863
RECV 41500864
ADD 41500867
RECV 41500868
ADD 41500871
RECV 41500872
ADD 41500875
RECV 41500876
ADD 41500879
RECV 41500880
ADD 41500883
RECV 41500886
ADD 41500888
RECV 41500890
ADD 41500892
RECV 41500894
ADD 41500897
RECV 41500898
ADD 41500901
RECV 41500904
ADD 41500907
RECV 41500908
ADD 41500911
RECV 41500912
ADD 41500915
RECV 41500916
ADD 41500919
RECV 41500920
ADD 41500923
RECV 41500924
ADD 41500927
RECV 41500929
ADD 41500934
RECV 41500937
ADD 41500941
RECV 41500943
ADD 41500947
RECV 41500948
ADD 41500952
RECV 41500954
ADD 41500958
RECV 41500959
ADD 41500963
RECV 41500966
ADD 41500970
RECV 41500973
ADD 41500977
RECV 41500981
ADD 41500985
RECV 41500987
ADD 41500990
RECV 41500992
ADD 41500995
RECV 41500998
ADD 41501001
RECV 41501003
ADD 41501006
RECV 41501007
ADD 41501010
RECV 41501011
ADD 41501014
RECV 41501015
ADD 41501018
RECV 41501020
ADD 41501023
RECV 41501024
ADD 41501027
RECV 41501028
ADD 41501031
RECV 41501032
ADD 41501035
RECV 41501036
ADD 41501039
RECV 41501040
ADD 41501043
RECV 41501045
ADD 41501047
RECV 41501049
ADD 41501052
RECV 41501053
ADD 41501056
RECV 41501061
ADD 41501065
RECV 41501067
ADD 41501069
RECV 41501071
ADD 41501073
RECV 41501075
ADD 41501078
RECV 41501079
ADD 41501082
RECV 41501084
ADD 41501087
RECV 41501088
ADD 41501091
RECV 41501092
ADD 41501095
RECV 41501096
ADD 41501099
RECV 41501101
ADD 41501103
RECV 41501105
ADD 41501108
RECV 41501109
ADD 41501112
RECV 41501113
ADD 41501116
